naics,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
212311,143,42,22,10,4,5,3,5,6,2,4,2,2,3,,1,2,1,,,,,2
212312,150,112,69,36,24,19,17,7,28,34,18,13,12,9,6,8,7,3,4,6,8,5,10
212313,35,31,12,12,4,1,1,3,6,4,1,4,1,6,4,1,1,1,1,,,3,6
212319,139,56,33,17,7,12,6,4,7,12,4,8,4,5,4,1,5,3,2,2,,3,9
212321,648,232,137,73,44,24,17,13,28,32,19,31,20,17,9,10,14,6,6,6,10,6,7
212322,29,13,13,1,2,4,1,5,5,5,,5,3,3,1,,1,2,,2,2,1,6
212324,4,2,1,,,,,,1,,1,,,,2,2,,1,,2,1,1,
212325,19,10,3,1,4,1,2,4,,2,3,3,,2,,1,1,1,,1,1,3,3
212391,4,3,1,1,,,,,,,1,,1,,,,3,2,,1,,1,
212392,1,2,,,,,,,,,,,,,1,,,,,,1,1,2
212393,11,2,3,,1,,,1,,5,,1,,2,1,,,1,1,1,,,2
212399,83,26,12,11,5,8,2,1,2,4,2,4,3,5,,2,,,1,1,2,2,6
213111,1177,259,115,92,64,46,41,36,39,49,37,49,13,27,14,10,10,5,9,4,2,12,11
213112,5465,1285,691,413,331,210,165,127,183,262,131,126,73,69,32,14,38,14,21,13,4,28,40
213113,96,34,25,12,7,8,5,5,6,8,8,10,3,5,3,1,1,2,2,,,1,6
213114,94,25,14,3,5,2,2,,5,3,3,,2,4,2,,,1,,,,4,1
213115,119,38,25,9,7,4,4,5,4,6,1,2,2,,1,1,1,,,1,,2,4
221111,76,13,10,3,2,,2,1,1,2,1,2,1,3,1,3,1,1,2,5,,3,15
221112,35,12,5,7,7,7,2,1,1,13,6,14,6,11,7,8,8,4,5,9,4,10,38
221113,,4,,,,,,,,,,,1,2,1,,,,3,,,,16
221114,43,12,10,5,2,2,3,1,1,2,1,,,,,1,1,1,2,,,3,2
221115,27,10,6,3,3,1,1,,,,2,1,,2,,3,,3,,2,3,3,9
221116,9,1,2,1,1,1,,1,,3,,,,1,,2,,,,,1,,1
221117,22,4,5,4,2,1,2,,1,2,2,3,1,1,,2,2,,4,1,,,5
221118,43,2,3,1,,2,,1,2,2,,1,1,1,,1,1,2,1,2,1,1,9
221121,12,5,4,1,,1,2,1,2,3,,2,1,3,,1,9,2,,1,1,,16
221122,168,60,51,64,69,77,63,53,92,168,87,93,37,39,7,11,9,4,4,10,4,10,37
221210,190,67,34,16,15,5,11,3,5,11,5,6,5,9,4,3,9,5,9,10,3,9,26
221310,2194,728,153,74,33,15,13,13,7,23,7,15,4,8,5,7,6,3,2,2,2,1,4
221320,200,78,26,9,6,5,2,3,4,6,9,6,3,4,3,1,1,1,2,2,1,2,4
221330,7,2,,3,2,1,2,,2,1,1,,1,1,1,,,,1,,,,8
236115,41129,6714,1753,650,375,182,105,75,115,86,46,41,14,7,5,2,5,4,3,3,2,7,5
236116,1677,411,176,113,67,46,41,32,39,50,24,24,11,11,10,4,8,1,1,2,2,1,3
236117,8797,1812,553,252,149,95,85,53,51,81,31,28,23,23,8,3,9,5,9,5,3,6,6
236118,77070,9714,2703,1115,547,292,212,156,186,175,74,61,23,16,13,5,7,1,4,1,,3,5
236210,1439,556,260,142,75,71,61,40,60,58,33,34,20,23,9,7,12,7,9,3,4,7,20
236220,18604,7239,3446,2030,1336,834,627,449,600,615,306,250,108,114,55,21,45,26,21,18,7,21,43
237110,5592,2111,910,567,372,223,196,124,199,224,112,68,49,42,12,8,6,4,7,4,3,11,15
237120,556,269,159,105,67,62,45,39,73,108,62,60,49,47,25,10,24,9,13,11,5,15,26
237130,2079,919,490,282,200,141,108,92,133,177,72,79,51,35,16,15,12,11,12,8,7,13,33
237210,4137,603,202,85,37,29,20,19,25,24,21,14,13,12,4,5,5,4,3,2,1,4,12
237310,3787,1560,850,521,369,286,232,169,256,360,175,188,112,83,44,22,29,11,15,15,5,12,25
237990,2347,703,332,182,118,84,40,35,65,76,41,37,22,13,10,11,8,6,7,5,2,8,16
238110,11476,3298,1343,698,435,269,219,161,217,253,124,89,48,34,21,7,12,6,6,2,1,7,3
238120,1268,635,316,206,150,106,94,57,80,133,55,58,16,18,6,7,4,2,3,3,3,2,6
238130,7495,1578,477,228,114,75,52,35,70,51,26,37,18,17,7,3,3,2,,2,,5,1
238140,12601,2667,937,490,299,208,147,100,132,181,66,71,30,28,9,4,3,4,3,,,2,4
238150,2574,1131,469,240,134,108,60,42,63,72,25,28,15,6,1,2,1,1,1,1,,,2
238160,10931,2697,1190,656,411,261,199,166,222,243,113,74,25,18,7,2,5,2,1,,2,1,
238170,5682,893,296,127,71,42,24,31,18,24,10,11,4,2,1,1,3,,,1,,1,1
238190,3415,921,325,189,122,75,39,38,49,56,19,27,11,13,1,2,2,3,,1,1,2,3
238210,42829,12424,4717,2389,1404,951,691,488,699,921,397,363,182,165,79,36,45,34,21,14,10,17,34
238220,57253,17347,7041,3533,2093,1344,904,682,924,1075,463,428,169,141,64,35,33,33,22,10,7,10,32
238290,2943,1136,581,308,193,153,85,85,95,132,65,54,27,35,17,10,12,7,6,4,2,6,16
238310,10229,2756,1183,604,425,301,188,140,182,267,146,118,58,47,26,9,19,8,6,2,1,2,3
238320,23754,4275,1396,664,395,234,172,124,180,180,75,48,20,19,4,3,2,1,2,2,,1,1
238330,10780,1783,554,279,153,90,71,41,55,58,32,19,7,12,4,1,1,2,1,,,1,2
238340,6424,1244,478,251,138,96,47,43,48,52,21,17,9,5,2,,1,1,,,,,
238350,19678,3584,1136,524,286,145,140,54,101,105,49,37,16,9,6,6,6,3,5,1,,3,3
238390,3805,1160,488,244,180,101,84,62,70,85,43,40,15,16,7,3,7,4,1,,1,1,2
238910,21261,5519,2204,1225,708,481,359,286,373,454,181,181,70,69,19,15,20,5,8,8,4,6,18
238990,21266,4812,1786,880,511,316,239,167,202,226,97,76,33,24,21,4,10,8,3,2,2,3,15
311111,105,31,12,15,9,1,12,2,7,8,3,7,8,7,8,1,2,4,1,,1,2,7
311119,240,160,95,63,48,34,24,16,27,33,28,16,18,23,9,3,12,4,4,1,1,11,17
311211,54,21,13,13,8,2,6,7,6,8,5,6,1,9,6,1,3,,3,1,2,2,8
311212,8,6,7,3,1,1,2,1,4,4,2,1,5,3,,,2,1,,3,,1,2
311213,8,3,1,1,1,,,,1,1,1,2,2,1,,,,,,,,,2
311221,10,,3,2,2,1,1,,1,2,,2,2,,1,,1,,,1,1,,3
311224,19,20,5,3,4,2,2,1,1,2,3,3,1,3,,2,1,,1,2,1,4,5
311225,23,13,8,2,2,2,4,,2,5,4,1,1,4,2,1,2,1,,1,1,4,9
311230,22,6,7,,1,,,,,3,2,,,1,1,1,1,,,2,,2,6
311313,2,1,,1,,,1,,1,1,1,,,,,,2,1,1,2,1,,1
311314,11,5,,3,1,,,,,3,2,4,3,2,1,,3,2,,1,2,,1
311340,204,89,43,22,14,10,9,5,9,14,6,12,10,5,3,1,3,1,3,,,3,10
311351,88,33,10,8,4,1,5,1,2,7,3,1,,2,1,,3,1,2,,,2,4
311352,376,241,155,78,57,30,18,11,26,26,13,16,9,13,4,1,4,,3,,1,3,8
311411,22,18,10,10,4,5,4,4,9,7,8,5,1,10,6,6,6,3,4,2,2,6,3
311412,88,43,32,22,27,11,16,13,18,22,14,18,13,13,9,3,11,5,2,2,5,4,18
311421,269,89,53,34,24,9,11,16,16,30,18,15,18,15,8,9,8,6,8,2,2,6,12
311422,46,13,9,4,4,4,2,,3,1,1,5,,4,1,,3,1,5,,1,1,5
311423,46,14,12,11,7,7,9,1,11,14,12,4,3,4,4,1,5,3,2,5,,4,3
311511,64,33,17,7,7,7,9,5,14,20,3,16,7,13,5,5,6,4,7,3,3,8,16
311512,9,7,1,1,1,2,,,,,2,1,,,,,1,3,3,,,,1
311513,116,64,40,29,21,13,11,5,8,21,15,22,9,9,10,2,7,4,6,3,3,4,4
311514,31,9,12,9,4,1,4,4,6,5,6,9,4,3,2,2,2,4,4,3,2,6,7
311520,182,73,38,15,13,7,4,9,6,5,8,13,3,4,1,3,3,,,,2,6,12
311611,585,374,157,51,33,23,22,17,14,23,16,22,7,10,14,7,6,11,5,2,2,3,10
311612,401,198,124,65,55,31,26,26,37,61,44,43,17,32,15,7,12,4,7,4,6,8,18
311613,31,10,10,5,8,7,5,3,3,10,3,5,,1,2,1,1,3,1,,,3,4
311615,89,30,22,11,14,10,3,2,17,17,9,9,5,9,7,5,14,7,10,4,2,11,16
311710,205,70,32,23,25,22,8,16,31,21,24,22,9,12,6,3,5,4,4,2,1,1,3
311811,3097,1540,724,417,239,141,85,62,82,62,32,22,8,9,3,3,4,,3,2,,3,5
311812,956,429,238,147,107,93,56,41,70,92,42,60,26,45,21,7,18,6,11,8,5,13,28
311813,51,24,11,7,4,9,7,9,10,14,7,7,8,8,3,6,2,2,1,2,1,5,12
311821,137,66,32,13,14,8,6,3,15,11,6,8,5,5,6,1,4,1,,1,,6,8
311824,88,64,33,29,18,20,7,11,23,12,6,11,8,7,8,3,9,3,2,2,2,8,6
311830,120,66,34,17,22,12,12,10,13,21,13,8,5,7,2,1,2,2,2,,,1,3
311911,57,32,23,10,13,3,4,8,8,15,8,9,5,12,1,2,2,,5,1,,2,11
311919,97,56,35,14,11,6,8,5,11,15,7,7,8,4,4,1,3,2,5,1,2,4,8
311920,248,92,38,25,12,8,9,10,9,20,10,6,7,7,4,1,3,1,1,3,1,4,6
311930,61,22,10,12,6,3,4,4,3,5,5,5,3,3,1,2,3,2,1,1,1,2,3
311941,126,37,25,12,9,7,6,7,11,15,6,9,4,10,1,1,4,4,,,,7,7
311942,114,40,34,22,11,11,5,9,12,15,15,15,8,6,6,4,7,3,7,4,2,3,9
311991,223,106,66,40,24,22,8,12,20,36,23,23,11,14,8,6,14,6,3,1,2,8,13
311999,241,96,45,31,27,11,12,8,14,21,18,14,9,13,6,5,6,2,8,2,4,2,12
312111,79,36,23,11,11,10,5,3,6,11,6,14,9,7,6,2,3,6,7,4,4,2,11
312112,90,43,14,15,9,2,1,,3,6,2,4,3,5,4,,1,1,1,,1,1,4
312113,146,63,38,12,10,8,2,2,3,1,,,,,,,,1,1,1,,,2
312120,880,311,150,80,62,30,24,19,33,35,22,21,9,5,5,2,8,3,1,2,,,2
312130,1536,622,287,167,101,91,48,40,54,56,19,20,12,7,5,2,4,3,1,2,2,3,5
312140,290,67,36,15,11,6,2,3,4,4,3,4,4,3,4,,1,1,1,2,2,,
312230,62,12,1,1,5,4,1,3,2,8,4,6,3,3,1,,1,2,3,1,,1,2
313110,85,34,9,13,16,6,5,7,10,17,10,2,10,7,,2,9,2,6,4,,4,3
313210,121,34,18,12,8,12,5,5,6,9,9,10,5,4,5,3,6,3,1,4,,3,5
313220,75,28,20,10,10,6,4,2,8,8,4,7,4,8,1,2,,,1,,,1,1
313230,38,22,23,10,10,5,7,7,8,18,11,6,3,7,3,2,5,3,3,1,1,3,10
313240,50,25,22,10,4,8,7,3,8,9,9,8,4,4,2,3,2,,,1,,1,4
313310,380,147,55,45,23,20,16,11,14,23,18,11,7,11,6,3,7,2,4,3,,3,5
313320,47,27,12,10,2,10,1,6,7,15,6,7,3,5,2,3,1,1,1,2,1,2,3
314110,81,42,12,15,6,6,4,3,4,8,7,4,3,5,1,3,3,2,3,4,1,2,4
314120,842,297,105,60,37,28,16,17,17,24,16,16,13,8,5,4,6,5,1,,,3,2
314910,756,318,143,78,49,32,26,17,24,29,9,16,11,7,2,3,1,6,,,,1,4
314994,38,25,13,9,4,5,5,2,2,8,4,2,1,2,1,1,1,1,1,1,,1,2
314999,1531,475,185,103,49,41,29,19,30,40,22,20,11,13,7,4,5,,3,2,,11,5
315110,35,14,10,12,2,8,2,2,4,10,5,10,3,5,2,1,1,,1,1,,,1
315190,52,18,11,7,3,7,,1,1,3,2,4,3,3,,,,1,,,,,
315210,2228,675,342,180,154,69,42,46,55,50,25,28,13,16,2,3,2,2,1,2,1,,1
315220,251,66,24,28,16,12,6,5,12,13,8,12,5,9,3,1,1,,1,2,1,,4
315240,557,208,92,49,40,31,21,20,17,31,15,15,6,3,5,,1,2,1,,,,1
315280,222,81,33,25,15,13,6,7,8,11,6,9,5,1,4,,1,2,,,,2,
315990,396,82,31,15,7,4,8,8,15,15,1,10,4,4,2,2,2,,,,1,1,4
316110,98,40,11,8,8,1,4,1,2,3,3,5,1,1,,,2,,,1,,1,2
316210,117,32,11,8,10,4,5,7,4,10,2,3,2,4,1,2,3,,,2,1,2,3
316992,66,18,5,4,3,2,2,,1,,1,,1,1,,,,,,,,,1
316998,326,114,45,26,15,11,17,5,13,13,5,7,3,4,3,1,3,,,1,,,1
321113,867,466,288,170,110,82,57,34,78,97,54,44,32,15,13,12,13,4,9,4,2,6,10
321114,97,52,28,19,21,10,9,7,7,10,10,10,6,3,,3,8,1,2,1,,1,
321211,61,31,16,16,7,11,9,4,8,15,4,9,6,8,2,3,2,1,,2,,5,5
321212,13,8,4,3,3,,1,1,3,2,2,4,2,6,2,1,4,2,1,1,,2,3
321213,24,15,7,11,2,2,1,1,4,6,1,2,1,6,1,1,1,,,,1,,5
321214,115,101,81,46,34,25,21,16,28,47,20,27,12,16,7,,5,4,,1,,6,5
321219,25,22,12,7,4,2,5,3,3,5,2,10,3,6,2,2,4,3,5,1,3,5,8
321911,313,206,116,58,43,36,18,15,34,34,16,21,10,14,14,4,5,2,5,3,,9,9
321912,248,145,78,78,45,32,27,26,34,43,21,24,12,7,9,3,7,5,6,3,1,10,7
321918,710,251,132,87,54,31,31,15,19,28,26,20,12,8,5,4,6,1,5,3,,9,5
321920,740,444,280,180,136,100,56,54,80,84,39,49,17,9,11,1,3,1,2,,1,1,2
321991,47,20,11,4,5,4,6,3,9,15,18,7,8,3,3,1,3,2,1,,,3,1
321992,219,79,53,28,19,17,15,7,13,22,13,14,6,8,2,,3,3,,1,,4,2
321999,1052,331,158,89,62,34,35,22,35,38,28,18,15,19,6,5,7,1,3,2,,5,9
322110,8,,2,2,,4,,2,1,1,,,1,1,1,,,1,2,1,2,,6
322121,32,13,5,3,,3,2,2,6,7,4,6,2,5,5,7,5,3,6,1,4,2,11
322122,1,,1,,,1,,,,,,,3,2,,,1,1,,,1,,1
322130,6,3,2,4,,2,2,1,3,4,5,3,6,5,1,3,3,,6,1,1,7,11
322211,107,68,57,59,43,37,26,22,34,60,44,48,20,19,14,3,7,1,5,1,1,9,10
322212,30,26,14,21,14,11,15,13,13,34,18,29,15,23,9,3,3,1,4,1,1,10,8
322219,38,22,9,11,17,11,8,6,14,11,6,6,6,5,3,,,4,2,2,,5,10
322220,119,71,50,37,25,19,21,21,26,28,28,29,21,24,8,5,10,8,10,4,3,10,19
322230,82,53,32,31,17,10,12,18,13,22,13,21,7,8,7,2,1,5,1,,3,,7
322291,15,13,3,2,2,3,5,8,4,8,6,5,3,6,6,1,3,1,5,1,1,3,7
322299,89,51,38,21,17,16,14,8,18,19,5,17,8,5,3,6,6,1,5,1,3,4,10
323111,9430,3650,1477,801,505,357,279,216,353,382,194,227,89,83,53,25,25,21,17,9,8,23,55
323113,2565,988,397,208,129,87,76,60,68,71,40,29,13,20,18,2,9,5,3,2,2,2,5
323117,178,78,29,22,17,8,8,2,10,16,4,14,9,10,2,2,2,,3,1,,1,6
323120,784,253,130,72,47,44,21,28,26,40,19,15,10,8,5,3,2,3,1,,1,5,9
324110,3,4,2,5,3,,,,1,3,2,4,3,2,3,2,5,1,2,4,2,11,16
324121,127,66,37,22,16,11,12,4,13,22,14,23,21,17,6,6,8,4,7,4,5,9,10
324122,34,14,9,8,4,5,3,5,3,9,4,5,1,1,2,1,3,1,1,,2,4,5
324191,70,36,21,14,12,11,8,3,12,12,10,9,5,4,5,1,3,2,,3,,3,15
324199,37,12,6,4,1,1,2,1,1,1,2,2,1,3,3,1,2,1,2,1,1,2,5
325110,12,3,1,1,,,,,,1,2,1,,1,1,2,2,,2,2,1,2,6
325120,33,13,6,5,1,2,2,1,1,2,1,2,1,1,,,,,1,1,1,4,8
325130,39,13,9,7,6,4,3,1,3,4,,5,1,3,2,,5,3,1,1,,5,5
325180,72,43,26,15,15,9,9,6,18,17,15,16,9,16,7,6,13,8,5,6,8,18,22
325193,19,5,3,1,5,2,6,24,36,17,7,5,5,4,2,1,2,,3,,1,3,8
325194,12,7,2,1,5,3,2,,2,2,4,1,1,1,,1,3,1,1,2,2,3,6
325199,112,54,55,29,33,18,18,6,32,36,14,27,12,17,7,11,15,6,9,8,8,18,30
325211,147,90,69,57,63,20,38,28,40,51,46,27,21,30,15,13,21,12,14,12,7,22,30
325212,36,15,9,7,2,1,8,1,5,3,6,5,2,6,4,1,6,1,3,,1,5,9
325220,18,9,5,3,7,4,,1,4,6,6,5,3,7,2,,2,2,3,3,,6,9
325311,49,24,13,9,10,4,3,2,3,6,4,4,1,1,1,1,4,1,1,3,1,4,7
325312,7,4,4,3,,4,2,,,,3,4,,2,2,1,3,,,,1,2,4
325314,103,54,32,19,14,8,10,8,11,12,8,8,7,10,,2,2,,,1,,4,6
325320,63,16,18,6,7,4,1,1,4,6,7,6,1,5,4,2,1,3,1,2,1,6,8
325411,131,50,35,14,13,13,4,10,16,13,15,19,13,10,8,3,4,6,6,1,3,3,14
325412,305,133,66,43,42,20,18,22,24,40,35,38,12,28,17,7,20,10,10,8,4,19,36
325413,41,27,13,8,9,9,5,5,9,15,9,7,3,5,3,1,3,1,1,4,2,5,12
325414,58,34,15,12,12,7,5,4,6,7,6,8,4,4,4,2,2,4,1,1,2,9,24
325510,321,179,103,57,42,30,25,18,29,23,18,22,15,14,9,9,7,2,5,1,5,9,9
325520,91,71,36,20,18,10,11,5,14,22,14,14,4,8,8,7,6,4,6,3,5,9,19
325611,244,119,60,28,19,17,9,8,12,22,11,18,5,7,2,1,,1,7,2,1,4,11
325612,181,87,36,25,14,11,5,7,9,15,7,13,10,11,4,5,1,5,4,1,,7,5
325613,35,18,9,6,,3,1,5,4,2,1,3,1,4,1,2,1,,3,1,1,5,6
325620,319,142,57,46,30,24,12,10,33,38,26,31,8,20,5,3,8,5,7,5,5,7,14
325910,75,35,17,9,10,6,4,5,2,10,4,8,1,5,1,2,2,3,1,1,,3,8
325920,6,9,1,5,1,2,1,,1,1,1,3,2,3,,1,1,1,4,2,,2,5
325991,109,47,42,15,17,11,12,8,13,18,12,10,7,11,6,4,6,2,6,2,2,9,7
325992,146,35,18,13,3,1,6,4,4,8,7,7,1,1,1,1,1,2,2,1,1,3,5
325998,329,160,81,38,34,22,16,19,19,30,10,24,12,18,16,8,11,8,13,4,2,19,26
326111,38,36,24,14,16,5,8,8,11,22,17,13,6,16,6,6,2,3,1,3,3,5,8
326112,29,28,24,18,22,12,11,10,13,26,18,21,6,11,8,5,3,5,6,5,4,5,10
326113,101,58,30,24,20,17,11,13,18,31,14,26,13,14,13,9,8,6,7,6,4,8,12
326121,88,42,28,14,11,15,17,6,20,18,10,11,13,8,5,3,6,5,8,3,2,4,11
326122,56,33,23,24,16,9,7,7,12,23,13,19,5,8,9,1,5,2,5,4,4,7,5
326130,78,35,22,12,7,6,7,4,3,8,6,10,9,3,1,2,4,2,4,2,,4,7
326140,68,36,24,15,13,13,8,14,14,19,8,18,4,2,8,4,4,2,4,3,,5,8
326150,90,65,34,27,30,12,17,13,17,29,17,23,10,14,4,4,9,5,7,3,3,3,17
326160,32,17,8,11,4,10,3,4,15,18,5,10,10,5,6,1,4,2,2,1,1,3,7
326191,96,56,50,23,12,9,10,3,16,20,9,15,7,9,3,1,6,,2,1,,2,4
326199,1304,908,480,342,236,166,157,132,201,300,188,216,106,152,61,45,66,60,50,28,14,44,66
326211,29,10,4,2,3,1,2,2,1,1,5,2,1,8,1,1,1,2,,,3,2,5
326212,95,42,36,13,13,11,5,6,5,12,12,10,5,14,5,3,4,3,,2,,,4
326220,46,26,12,11,5,1,3,5,5,12,7,4,6,9,4,5,3,1,7,,2,5,5
326291,65,56,35,20,18,20,14,8,12,28,13,21,10,13,12,6,5,3,2,4,2,7,7
326299,142,81,43,30,22,20,13,16,24,31,17,20,16,20,11,7,12,4,4,3,2,7,20
327110,348,79,28,24,13,18,6,6,13,11,7,8,4,4,,,3,1,2,1,3,1,5
327120,108,49,32,19,18,14,11,12,18,22,19,15,8,10,6,3,4,2,7,2,3,4,9
327211,32,5,5,1,3,1,2,1,2,2,3,3,,,,1,,,,,1,4,5
327212,216,58,28,14,8,4,3,6,8,6,1,4,2,2,3,,1,4,3,1,2,3,10
327213,16,5,3,1,2,1,,,1,2,1,1,1,2,,1,1,,1,,1,2,3
327215,462,172,69,49,21,20,15,20,31,28,20,21,12,17,3,4,4,5,5,6,1,12,15
327310,26,16,8,4,2,,3,,4,3,1,4,,8,,2,3,4,4,2,5,1,4
327320,476,339,242,179,104,104,67,48,79,108,59,59,27,33,11,12,14,10,6,4,8,5,7
327331,121,90,52,33,31,21,10,14,7,23,13,11,12,12,6,5,5,1,1,3,5,3,6
327332,23,24,17,11,8,7,2,4,13,13,7,7,5,3,,2,2,1,1,1,,1,5
327390,510,311,170,106,91,52,32,33,51,59,37,36,26,16,11,4,13,4,3,3,5,6,9
327410,8,3,2,2,1,1,2,,,1,,1,2,,1,2,1,2,,3,2,,2
327420,48,31,12,9,5,2,1,1,5,4,1,2,1,,,,1,1,,1,3,1,4
327910,50,48,33,25,15,7,12,5,11,19,7,5,3,4,2,,2,,1,1,1,1,5
327991,696,400,203,121,72,55,36,40,34,43,17,27,4,7,2,,4,3,4,,,5,2
327992,35,14,7,3,9,5,3,1,3,10,4,9,5,6,1,5,2,3,5,1,4,5,8
327993,50,27,19,8,14,8,7,8,4,6,3,5,1,2,2,3,1,4,2,,2,2,7
327999,97,51,30,19,9,8,12,4,4,14,2,6,6,5,2,2,5,5,,,6,2,9
331110,133,35,22,22,8,11,4,5,14,17,14,23,10,13,12,3,9,6,13,9,11,9,19
331210,38,13,11,5,2,5,7,4,6,11,11,14,9,7,7,5,5,7,4,4,3,8,8
331221,35,19,9,9,4,2,3,4,3,11,8,8,3,2,8,3,5,3,,3,1,2,7
331222,57,19,14,4,8,6,10,3,3,13,10,7,7,10,7,1,5,2,3,2,1,5,8
331313,20,13,1,2,,1,2,,1,4,3,2,,2,1,2,,1,,4,1,1,6
331314,15,4,7,2,,3,4,3,6,4,8,8,3,5,2,1,1,,,3,2,4,5
331315,25,12,8,4,2,1,1,,1,4,,1,5,2,2,,3,,2,2,1,3,4
331318,37,14,15,6,8,5,4,7,6,10,10,15,7,9,6,2,11,4,2,1,5,3,6
331410,58,22,8,6,10,3,2,3,2,6,4,3,4,2,1,,4,3,2,3,1,5,6
331420,32,16,14,5,6,5,8,5,7,11,8,14,7,9,4,3,6,2,3,2,2,6,8
331491,74,43,27,15,9,9,10,2,8,13,3,7,7,7,2,5,3,3,,2,4,5,14
331492,58,40,11,9,5,10,9,2,7,13,8,3,3,5,2,5,7,5,1,1,2,5,6
331511,69,35,27,17,14,14,4,9,21,26,11,22,10,15,8,3,3,3,6,5,2,9,11
331512,6,5,9,8,5,4,4,2,5,11,11,6,4,2,3,,3,2,2,3,,1,3
331513,38,20,15,9,4,7,5,3,9,15,9,15,4,6,6,2,4,3,3,1,2,2,6
331523,69,64,34,19,13,18,15,11,14,21,19,23,8,11,8,5,11,3,3,3,1,6,12
331524,67,59,32,11,15,11,12,11,13,15,19,12,9,11,7,,2,,2,1,,4,5
331529,71,48,31,27,17,15,10,10,7,12,9,10,1,4,,1,2,2,1,2,,4,3
332111,112,33,25,13,9,6,9,4,6,15,15,15,4,10,4,3,7,4,4,3,7,5,12
332112,9,6,2,2,2,2,,2,3,4,3,1,,1,,2,1,2,2,1,1,2,5
332114,52,62,61,32,25,20,12,13,19,27,11,16,10,16,10,1,8,1,5,7,3,6,6
332117,7,10,13,13,5,6,7,2,5,6,5,7,2,5,2,2,5,1,1,1,,2,7
332119,265,244,145,100,63,61,41,36,71,111,43,64,27,26,7,5,9,6,3,4,5,5,16
332215,95,27,14,10,4,5,2,3,4,2,2,3,1,6,2,,,4,2,,,1,4
332216,369,173,73,42,43,33,15,17,26,32,28,17,10,9,6,5,2,5,2,2,2,5,11
332311,216,102,53,34,19,10,11,11,18,30,19,17,6,9,7,4,9,2,1,,1,4,2
332312,833,471,316,211,150,105,90,71,105,121,60,69,14,29,13,5,8,10,10,10,5,10,23
332313,297,196,167,85,75,61,37,41,40,70,38,39,14,17,14,5,4,4,4,3,4,3,5
332321,283,164,84,49,32,37,22,21,25,47,31,31,13,16,16,5,10,6,4,5,1,8,14
332322,1100,699,420,285,189,161,105,90,138,164,103,87,35,38,28,13,16,6,8,11,7,12,19
332323,1031,464,197,110,74,51,38,34,37,49,27,26,4,7,6,2,4,3,5,3,2,4,4
332410,28,38,16,18,6,12,9,8,9,17,15,18,10,8,8,4,5,4,3,,4,5,9
332420,112,75,62,47,26,40,26,19,41,39,28,28,20,21,11,9,6,4,9,2,3,9,9
332431,23,7,1,4,3,2,1,2,2,1,1,1,2,1,3,2,1,,,1,,4,6
332439,102,38,18,18,16,7,7,9,14,11,7,10,6,7,2,,1,3,,,2,3,9
332510,185,116,44,34,16,10,16,11,13,26,11,17,5,8,6,5,6,8,3,2,2,6,6
332613,73,61,41,27,14,15,4,5,19,19,15,13,4,5,2,2,2,1,4,1,1,3,5
