naics,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
113110,296,66,15,12,6,2,3,1,3,3,1,,1,1,,1,5,1,1,,3,2,2
113210,103,28,6,5,5,2,1,1,1,1,,3,,1,,,,,1,,,,2
113310,4642,1777,641,274,150,101,58,46,43,37,16,12,3,1,1,2,2,3,3,2,1,1,3
114111,1114,57,13,7,2,2,1,,5,4,1,1,3,3,,,,,,,,,1
114112,959,23,7,3,5,1,2,1,,2,3,1,1,,1,,,,,,,,
114119,65,5,1,,,,,,1,,,,,,,,,,,,,,
114210,248,47,13,8,4,2,2,,3,,,,1,1,,,1,,,,,,
115111,72,57,31,18,7,5,4,4,4,3,3,2,,,1,1,2,,,,,2,
115112,1500,323,100,36,26,16,7,11,11,7,5,8,2,7,4,2,1,,,,,1,1
115113,225,39,14,7,5,3,1,2,,4,3,3,2,4,,,,,,,,1,
115114,288,124,63,38,26,13,15,8,19,41,37,23,19,20,6,4,6,1,3,3,1,9,10
115115,281,58,24,9,7,14,3,12,8,12,4,5,5,7,3,2,2,,,,1,,
115116,383,64,22,15,9,6,5,4,4,6,4,5,,5,1,,,,2,,,2,
115210,3327,575,143,49,27,19,19,10,10,16,5,11,5,4,1,3,,,3,1,,3,7
115310,1151,181,58,43,20,23,10,8,15,17,11,8,1,1,3,,1,,,2,,3,1
211111,4457,965,318,167,93,74,43,41,57,71,44,40,18,27,10,11,12,11,16,9,6,16,26
211112,62,16,7,2,2,,1,2,2,2,4,2,3,1,2,1,4,3,8,3,,7,15
212111,99,41,28,16,13,7,8,7,8,12,13,6,7,6,6,1,5,2,6,5,1,3,11
212112,51,15,16,18,13,4,6,4,6,6,8,6,1,5,7,2,3,2,6,1,2,4,9
212113,24,9,3,3,,1,1,2,,,2,3,,,,,,,1,,,,
212210,4,2,1,,1,,,,,1,,1,,,1,,1,,,,,,4
212221,107,19,10,5,4,3,2,,4,2,3,1,3,2,2,2,2,,,1,,4,
212222,2,2,,2,,,,1,,3,,1,,1,,,1,1,,,,,
212231,8,,1,,,,,,,,,,,,,2,1,1,,,,1,
212234,6,2,6,1,2,,1,1,1,1,1,1,,,3,,1,1,,,,4,1
212291,9,1,3,,,,1,1,1,1,1,,,2,,,,,,,,,1
212299,20,2,3,,,,1,1,,,,,1,,,1,2,,,1,1,,3
