NAICS,NAICSio,Proportion
111110,1111A0,1
111120,1111A0,1
111130,1111B0,1
111140,1111B0,1
111150,1111B0,1
111160,1111B0,1
111191,1111B0,1
111199,1111B0,1
111211,111200,1
111219,111200,1
111310,111300,1
111320,111300,1
111331,111300,1
111332,111300,1
111333,111300,1
111334,111300,1
111335,111300,1
111336,111300,1
111339,111300,1
111411,111400,1
111419,111400,1
111421,111400,1
111422,111400,1
111910,111900,1
111920,111900,1
111930,111900,1
111940,111900,1
111991,111900,1
111992,111900,1
111998,111900,1
112111,1121A0,1
112112,1121A0,1
112120,112120,1
112130,1121A0,1
112210,112A00,1
112310,112300,1
112320,112300,1
112330,112300,1
112340,112300,1
112390,112300,1
112410,112A00,1
112420,112A00,1
112511,112A00,1
112512,112A00,1
112519,112A00,1
112910,112A00,1
112920,112A00,1
112930,112A00,1
112990,112A00,1
113110,113000,1
113210,113000,1
113310,113000,1
114111,114000,1
114112,114000,1
114119,114000,1
114210,114000,1
115111,115000,1
115112,115000,1
115113,115000,1
115114,115000,1
115115,115000,1
115116,115000,1
115210,115000,1
115310,115000,1
211111,211000,1
211112,211000,1
212111,212100,1
212112,212100,1
212113,212100,1
212210,2122A0,1
212221,2122A0,1
212222,2122A0,1
212231,212230,1
212234,212230,1
212291,2122A0,1
212299,2122A0,1
212311,212310,1
212312,212310,1
212313,212310,1
212319,212310,1
212321,2123A0,1
212322,2123A0,1
212324,2123A0,1
212325,2123A0,1
212391,2123A0,1
212392,2123A0,1
212393,2123A0,1
212399,2123A0,1
213111,213111,1
213112,21311A,1
213113,21311A,1
213114,21311A,1
213115,21311A,1
221111,221100,1
221112,221100,1
221113,221100,1
221114,221100,1
221115,221100,1
221116,221100,1
221117,221100,1
221118,221100,1
221121,221100,1
221122,221100,1
221210,221200,1
221310,221300,1
221320,221300,1
221330,221300,1
236115,233411,1
236116,233412,1
236117,233411,1
236118,230302,1
236210,233230,1
236220,2332A0,1
237110,2332B0,1
237120,2332B0,1
237130,233240,1
237210,2334A0,1
237310,233293,1
237990,233293,1
238110,2332B0,1
238120,233230,1
238130,233411,1
238140,2332A0,1
238150,2332A0,1
238160,233411,1
238170,233411,1
238190,233230,1
238310,233230,0.333596084
238210,233411,1
238220,233412,1
238290,2332B0,1
238310,233412,0.666403916
238320,233412,1
238330,233412,1
238340,2332B0,1
238350,233411,1
238390,233412,1
238910,233230,1
238990,2332B0,1
311111,311111,1
311119,311119,1
311211,311210,1
311212,311210,1
311213,311210,1
311221,311221,1
311224,31122A,1
311225,311225,1
311230,311230,1
311314,311300,1
311313,311300,1
311351,311300,1
311352,311300,1
311340,311300,1
311411,311410,1
311412,311410,1
311421,311420,1
311422,311420,1
311423,311420,1
311511,31151A,1
311512,31151A,1
311513,311513,1
311514,311514,1
311520,311520,1
311611,31161A,1
311612,31161A,1
311613,31161A,1
311615,311615,1
311710,311700,1
311811,311810,1
311812,311810,1
311813,311810,1
311821,3118A0,1
311824,3118A0,1
311830,3118A0,1
311911,311910,1
311919,311910,1
311920,311920,1
311930,311930,1
311941,311940,1
311942,311940,1
311991,311990,1
311999,311990,1
312111,312110,1
312112,312110,1
312113,312110,1
312120,312120,1
312130,312130,1
312140,312140,1
312230,312200,1
313110,313100,1
313210,313200,1
313220,313200,1
313230,313200,1
313240,313200,1
313310,313300,1
313320,313300,1
314110,314110,1
314120,314120,1
314910,314900,1
314994,314900,1
314999,314900,1
315110,315000,1
315190,315000,1
315210,315000,1
315220,315000,1
315240,315000,1
315280,315000,1
315990,315000,1
316110,316000,1
316210,316000,1
316998,316000,1
316992,316000,1
321113,321100,1
321114,321100,1
321211,321200,1
321212,321200,1
321213,321200,1
321214,321200,1
321219,321200,1
321911,321910,1
321912,321910,1
321918,321910,1
321920,3219A0,1
321991,3219A0,1
321992,3219A0,1
321999,3219A0,0.912770631
322110,322110,1
322121,322120,1
322122,322120,1
322130,322130,1
322211,322210,1
322212,322210,1
322219,322210,1
322220,322220,1
322230,322230,1
322291,322291,1
322299,322299,1
323111,323110,1
323113,323110,1
323117,323110,1
323120,323120,1
324110,324110,1
324121,324121,1
324122,324122,1
324191,324190,1
324199,324190,1
325110,325110,1
325120,325120,1
325130,325130,1
325180,325180,1
325194,325190,1
325193,325190,1
325199,325190,1
325211,325211,1
325212,3252A0,1
325220,3252A0,1
325311,325310,1
325312,325310,1
325314,325310,1
325320,325320,1
325411,325411,1
325412,325412,1
325413,325413,1
325414,325414,1
325510,325510,1
325520,325520,1
325611,325610,1
325612,325610,1
325613,325610,1
325620,325620,1
325910,325910,1
325920,3259A0,1
325991,3259A0,1
325992,3259A0,1
325998,3259A0,1
326111,326110,1
326112,326110,1
326113,326110,1
326121,326120,1
326122,326120,1
326130,326130,1
326140,326140,1
326150,326150,1
326160,326160,1
326191,326190,1
326199,326190,1
326211,326210,1
326212,326210,1
326220,326220,1
326291,326290,1
326299,326290,1
327110,327100,1
327120,327100,1
327211,327200,1
327212,327200,1
327213,327200,1
327215,327200,1
327310,327310,1
327320,327320,1
327331,327330,1
327332,327330,1
327390,327390,1
327410,327400,1
327420,327400,1
327910,327910,1
327991,327991,1
327992,327992,1
327993,327993,1
327999,327999,1
331110,331110,1
331210,331200,1
331221,331200,1
331222,331200,1
331313,33131A,1
331314,331314,1
331315,33131B,1
331318,33131B,1
331410,331411,0.417015784
331410,331419,0.582984216
331420,331420,1
331491,331490,1
331492,331490,1
331511,331510,1
331512,331510,1
331513,331510,1
331523,331520,1
331524,331520,1
331529,331520,1
332111,33211A,1
332112,33211A,1
332114,332114,1
332119,33211B,1
332117,33211A,1
332215,332200,1
332216,332200,1
332311,332310,1
332312,332310,1
332313,332310,1
332321,332320,1
332322,332320,1
332323,332320,1
332410,332410,1
332420,332420,1
332431,332430,1
332439,332430,1
332510,332500,1
332613,332600,1
332618,332600,1
332710,332710,1
332721,332720,1
332722,332720,1
332811,332800,1
332812,332800,1
332813,332800,1
332911,33291A,1
332912,33291A,1
332913,332913,1
332919,33291A,1
332991,332991,1
332992,33299A,1
332993,33299A,1
332994,33299A,1
332996,332996,1
332999,33299B,1
333111,333111,1
333112,333112,1
333120,333120,1
333131,333130,1
333132,333130,1
333243,33329A,1
333249,333220,0.126898191
333249,33329A,0.873101809
333244,33329A,1
333241,33329A,1
333242,333295,1
333318,33331A,0.722941442
333318,333313,0.277058558
333314,333314,1
333316,333315,0.0415762
333413,33341A,1
333414,333414,1
333415,333415,1
333511,333511,1
333517,33351A,1
333514,333514,1
333515,33351B,1
333519,33351B,1
333611,333611,1
333612,333612,1
333613,333613,1
333618,333618,1
333911,33391A,1
333912,333912,1
333913,33391A,1
333921,333920,1
333922,333920,1
333923,333920,1
333924,333920,1
333991,333991,1
333992,33399A,1
333993,333993,1
333994,333994,1
333995,33399B,1
333996,33399B,1
333997,33399A,1
333999,33399A,1
334111,334111,1
334112,334112,1
334118,33411A,1
333316,33411A,0.9584238
334210,334210,1
334220,334220,1
334290,334290,1
334310,334300,1
334419,33441A,1
334412,33441A,1
334413,334413,1
334416,33441A,1
334417,33441A,1
334418,334418,1
334510,334510,1
334511,334511,1
334512,334512,1
334513,334513,1
334514,334514,1
334515,334515,1
334516,334516,1
334517,334517,1
334519,33451A,1
334614,334610,1
334613,334610,1
335110,335110,1
335121,335120,1
335122,335120,1
335129,335120,1
335210,335210,1
335221,335221,1
335222,335222,1
335224,335224,1
335228,335228,1
335311,335311,1
335312,335312,1
335313,335313,1
335314,335314,1
335911,335911,1
335912,335912,1
335921,335920,1
335929,335920,1
335931,335930,1
335932,335930,1
335991,335991,1
335999,335999,1
336111,336111,1
