NAICS,NAICSio,Proportion
336112,336112,1
336120,336120,1
336211,336211,1
336212,336212,1
336213,336213,1
336214,336214,1
336310,336310,1
336320,336320,1
336330,3363A0,1
336340,3363A0,1
336350,336350,1
336360,336360,1
336370,336370,1
336390,336390,1
336411,336411,1
336412,336412,1
336413,336413,1
336414,336414,1
336415,33641A,1
336419,33641A,1
336510,336500,1
336611,336611,1
336612,336612,1
336991,336991,1
336992,336992,1
336999,336999,1
337110,337110,1
337121,337121,1
337122,337122,1
337124,33712A,1
337125,33712A,1
337127,337127,1
321999,33712A,0.087229369
337211,33721A,1
337212,33721A,1
337214,33721A,1
337215,337215,1
337910,337900,1
337920,337900,1
339112,339112,1
339113,339113,1
339114,339114,1
339115,339115,1
339116,339116,1
339910,339910,1
339920,339920,1
339930,339930,1
339940,339940,1
339950,339950,1
339991,339990,1
339992,339990,1
339993,339990,1
339994,339990,1
339995,339990,1
339999,339990,1
423110,420000,1
423120,420000,1
423130,420000,1
423140,420000,1
423210,420000,1
423220,420000,1
423310,420000,1
423320,420000,1
423330,420000,1
423390,420000,1
423410,420000,1
423420,420000,1
423430,420000,1
423440,420000,1
423450,420000,1
423460,420000,1
423490,420000,1
423510,420000,1
423520,420000,1
423610,420000,1
423620,420000,1
423720,420000,1
423690,420000,1
423710,420000,1
423730,420000,1
423740,420000,1
423810,420000,1
423820,420000,1
423830,420000,1
423840,420000,1
423850,420000,1
423860,420000,1
423910,420000,1
423920,420000,1
423930,420000,1
423940,420000,1
423990,420000,1
424110,420000,1
424120,420000,1
424130,420000,1
424210,420000,1
424310,420000,1
424320,420000,1
424330,420000,1
424340,420000,1
424410,420000,1
424420,420000,1
424430,420000,1
424440,420000,1
424450,420000,1
424460,420000,1
424470,420000,1
424480,420000,1
424490,420000,1
424510,420000,1
424520,420000,1
424590,420000,1
424610,420000,1
424690,420000,1
424710,420000,1
424720,420000,1
424810,420000,1
424820,420000,1
424910,420000,1
424920,420000,1
424930,420000,1
424940,420000,1
424950,420000,1
424990,420000,1
425110,420000,1
425120,420000,1
441110,441000,1
441120,441000,1
441210,441000,1
441228,441000,1
441222,441000,1
441310,441000,1
441320,441000,1
442110,4A0000,1
442210,4A0000,1
442291,4A0000,1
442299,4A0000,1
443141,4A0000,1
443142,4A0000,1
444110,4A0000,1
444120,4A0000,1
444130,4A0000,1
444190,4A0000,1
444210,4A0000,1
444220,4A0000,1
445110,445000,1
445120,445000,1
445210,445000,1
445220,445000,1
445230,445000,1
445291,445000,1
445292,445000,1
445299,445000,1
445310,445000,1
446110,4A0000,1
446120,4A0000,1
446130,4A0000,1
446191,4A0000,1
446199,4A0000,1
447110,4A0000,1
447190,4A0000,1
448110,4A0000,1
448120,4A0000,1
448130,4A0000,1
448140,4A0000,1
448150,4A0000,1
448190,4A0000,1
448210,4A0000,1
448310,4A0000,1
448320,4A0000,1
451110,4A0000,1
451120,4A0000,1
451130,4A0000,1
451140,4A0000,1
451211,4A0000,1
451212,4A0000,1
452111,452000,1
452112,452000,1
452910,452000,1
452990,452000,1
453110,4A0000,1
453210,4A0000,1
453220,4A0000,1
453310,4A0000,1
453910,4A0000,1
453920,4A0000,1
453930,4A0000,1
453991,4A0000,1
453998,4A0000,1
454111,4A0000,1
454112,4A0000,1
454113,4A0000,1
454210,4A0000,1
454310,4A0000,1
454390,4A0000,1
481111,481000,1
481112,481000,1
481211,481000,1
481212,481000,1
481219,481000,1
482111,482000,1
482112,482000,1
483111,483000,1
483112,483000,1
483113,483000,1
483114,483000,1
483211,483000,1
483212,483000,1
484110,484000,1
484121,484000,1
484122,484000,1
484210,484000,1
484220,484000,1
484230,484000,1
485111,485000,1
485112,485000,1
485113,485000,1
485119,485000,1
485210,485000,1
485310,485000,1
485320,485000,1
485410,485000,1
485510,485000,1
485991,485000,1
485999,485000,1
486110,486000,1
486210,486000,1
486910,486000,1
486990,486000,1
487110,48A000,1
487210,48A000,1
487990,48A000,1
488111,48A000,1
488119,48A000,1
488190,48A000,1
488210,48A000,1
488310,48A000,1
488320,48A000,1
488330,48A000,1
488390,48A000,1
488410,48A000,1
488490,48A000,1
488510,48A000,1
488991,48A000,1
488999,48A000,1
491110,491000,1
492110,492000,1
492210,492000,1
493110,493000,1
493120,493000,1
493130,493000,1
493190,493000,1
511110,511110,1
511120,511120,1
511130,511130,1
511140,5111A0,1
511191,5111A0,1
511199,5111A0,1
511210,511200,1
512110,512100,1
512120,512100,1
512131,512100,1
512132,512100,1
512191,512100,1
512199,512100,1
512210,512200,1
512220,512200,1
512230,512200,1
512240,512200,1
512290,512200,1
515111,515100,1
515112,515100,1
515120,515100,1
515210,515200,1
517110,517110,1
517210,517210,1
517410,517A00,1
517911,517A00,1
517919,517A00,1
518210,518200,1
519110,5191A0,1
519120,5191A0,1
519130,519130,1
519190,5191A0,1
521110,52A000,1
522110,52A000,1
522120,52A000,1
522130,52A000,1
522190,52A000,1
522210,522A00,1
522220,522A00,1
522291,522A00,1
522292,522A00,1
522293,522A00,1
522294,522A00,1
522298,522A00,1
522310,522A00,1
522320,522A00,1
522390,522A00,1
523110,523A00,1
523120,523A00,1
523130,523A00,1
523140,523A00,1
523210,523A00,1
523910,523900,1
523920,523900,1
523930,523900,1
523991,523900,1
523999,523900,1
524113,524100,1
524114,524100,1
524126,524100,1
524127,524100,1
524128,524100,1
524130,524100,1
524210,524200,1
524291,524200,1
524292,524200,1
524298,524200,1
525110,525000,1
525120,525000,1
525190,525000,1
525910,525000,1
525920,525000,1
525990,525000,1
531110,5310HS,1
531120,531ORE,1
531130,531ORE,1
531190,531ORE,1
531210,531ORE,1
531311,5310HS,1
531312,531ORE,1
531320,531ORE,1
531390,531ORE,1
532111,532100,1
532112,532100,1
532120,532100,1
532210,532A00,1
532220,532A00,1
532230,532A00,1
532291,532A00,1
532292,532A00,1
532299,532A00,1
532310,532A00,1
532411,532400,1
532412,532400,1
532420,532400,1
532490,532400,1
533110,533000,1
541110,541100,1
541120,541100,1
541191,541100,1
541199,541100,1
541211,541200,1
541213,541200,1
541214,541200,1
541219,541200,1
541310,541300,1
541320,541300,1
541330,541300,1
541340,541300,1
541350,541300,1
541360,541300,1
541370,541300,1
541380,541300,1
541410,541400,1
541420,541400,1
541430,541400,1
541490,541400,1
541511,541511,1
541512,541512,1
541513,54151A,1
541519,54151A,1
541611,541610,1
541612,541610,1
541613,541610,1
541614,541610,1
541618,541610,1
541620,5416A0,1
541690,5416A0,1
541711,541700,1
541712,541700,1
541720,541700,1
541810,541800,1
541820,541800,1
541830,541800,1
541840,541800,1
541850,541800,1
541860,541800,1
541870,541800,1
541890,541800,1
541910,5419A0,1
541921,541920,1
541922,541920,1
541930,5419A0,1
541940,541940,1
541990,5419A0,1
551111,550000,1
551112,550000,1
551114,550000,1
561110,561100,1
561210,561200,1
561311,561300,1
561312,561300,1
561320,561300,1
561330,561300,1
561410,561400,1
561421,561400,1
561422,561400,1
561431,561400,1
561439,561400,1
561440,561400,1
561450,561400,1
561491,561400,1
561492,561400,1
561499,561400,1
561510,561500,1
561520,561500,1
561591,561500,1
561599,561500,1
561611,561600,1
561612,561600,1
561613,561600,1
561621,561600,1
561622,561600,1
561710,561700,1
561720,561700,1
561730,561700,1
561740,561700,1
561790,561700,1
561910,561900,1
561920,561900,1
561990,561900,1
562111,562000,1
562112,562000,1
562119,562000,1
562211,562000,1
562212,562000,1
562213,562000,1
562219,562000,1
562910,562000,1
562920,562000,1
562991,562000,1
562998,562000,1
611110,611100,1
611210,611A00,1
611310,611A00,1
611410,611B00,1
611420,611B00,1
611430,611B00,1
611511,611B00,1
611512,611B00,1
611513,611B00,1
611519,611B00,1
611610,611B00,1
611620,611B00,1
611630,611B00,1
611691,611B00,1
611692,611B00,1
611699,611B00,1
611710,611B00,1
621111,621100,1
621112,621100,1
621210,621200,1
621310,621300,1
621320,621300,1
621330,621300,1
621340,621300,1
621391,621300,1
621399,621300,1
621410,621400,1
621420,621400,1
621491,621400,1
621492,621400,1
621493,621400,1
621498,621400,1
621511,621500,1
621512,621500,1
621610,621600,1
621910,621900,1
621991,621900,1
621999,621900,1
622110,622000,1
622210,622000,1
622310,622000,1
623110,623A00,1
623210,623B00,1
623220,623B00,1
623311,623A00,1
623312,623A00,1
623990,623B00,1
624110,624100,1
624120,624100,1
624190,624100,1
624210,624A00,1
624221,624A00,1
624229,624A00,1
624230,624A00,1
624310,624A00,1
624410,624400,1
711110,711100,1
711120,711100,1
711130,711100,1
711190,711100,1
711211,711200,1
711212,711200,1
711219,711200,1
711310,711A00,1
711320,711A00,1
711410,711A00,1
711510,711500,1
712110,712000,1
712120,712000,1
712130,712000,1
712190,712000,1
713110,713100,1
713120,713100,1
713210,713200,1
713290,713200,1
713910,713900,1
713920,713900,1
713930,713900,1
713940,713900,1
713950,713900,1
713990,713900,1
721110,721000,1
721120,721000,1
721191,721000,1
721199,721000,1
721211,721000,1
721214,721000,1
721310,721000,1
722511,722110,1
722513,722211,1
722514,722211,1
722515,722211,1
722310,722A00,1
722320,722A00,1
722330,722A00,1
722410,722A00,1
811111,811100,1
811112,811100,1
811113,811100,1
811118,811100,1
811121,811100,1
811122,811100,1
811191,811100,1
811192,811100,1
811198,811100,1
811211,811200,1
811212,811200,1
811213,811200,1
811219,811200,1
811310,811300,1
811411,811400,1
811412,811400,1
811420,811400,1
811430,811400,1
811490,811400,1
812111,812100,1
812112,812100,1
812113,812100,1
812191,812100,1
812199,812100,1
812210,812200,1
812220,812200,1
812310,812300,1
812320,812300,1
812331,812300,1
812332,812300,1
812910,812900,1
812921,812900,1
812922,812900,1
812930,812900,1
812990,812900,1
813110,813100,1
813211,813A00,1
813212,813A00,1
813219,813A00,1
813311,813A00,1
813312,813A00,1
813319,813A00,1
813410,813B00,1
813910,813B00,1
813920,813B00,1
813930,813B00,1
813940,813B00,1
813990,813B00,1
814110,814000,1
921110,S00700,1
921120,S00700,1
921130,S00700,1
921140,S00700,1
921150,S00102,1
921190,S00203,1
922110,S00700,1
922120,S00700,1
922130,S00700,1
922140,S00700,1
922150,S00700,1
922160,S00700,1
922190,S00700,1
923110,S00102,1
923120,S00102,1
923130,S00102,1
923140,S00102,1
924110,S00102,1
924120,S00102,1
925110,S00102,1
925120,S00102,1
926110,S00102,1
926120,S00700,1
926130,S00700,1
926140,S00700,1
926150,S00203,1
927110,S00102,1
928110,S00102,1
928120,S00102,1
