ID,low_threshold,high_threshold,emp_range,EstablishmentSize
1,1,4,4,e1
2,5,9,5,e2
3,10,19,10,e3
4,20,49,30,e4
5,50,99,50,e5
6,100,249,150,e6
7,250,499,250,e7
8,500,999,500,e8
9,1000,1499,500,e9
10,1500,2499,1000,e10
11,2500,4999,2500,e11
12,5000,,5000,e12
