Country,Commodity_NAICS6,USExpVal,FAFZONE,TAZ
Afghanistan,111130,7604.10712513284,806,10046
Afghanistan,111335,526811.696212639,806,10046
Afghanistan,111339,36499.6815348316,806,10046
Afghanistan,111421,16007.894329816,806,10046
Afghanistan,112111,3436.17345920037,806,10046
Afghanistan,112210,5154,806,10046
Afghanistan,112310,3784.75910944647,806,10046
Afghanistan,112920,3005,806,10046
Afghanistan,112990,21156.2919862819,806,10046
Afghanistan,113210,100132.334511561,806,10046
Afghanistan,211112,48973.0487764583,806,10046
Afghanistan,212322,14075.458591783,806,10046
Afghanistan,212393,13932.6078485871,806,10046
Afghanistan,212399,3506.65533132826,806,10046
Afghanistan,311111,3167,806,10046
Afghanistan,311119,19807.2221771405,806,10046
Afghanistan,311224,2199317.14915149,806,10046
Afghanistan,311412,3480,806,10046
Afghanistan,311421,23801.7237458892,806,10046
Afghanistan,311422,3251,806,10046
Afghanistan,311423,3187.02029336842,806,10046
Afghanistan,311511,28966.4693434219,806,10046
Afghanistan,311512,17156.1336162884,806,10046
Afghanistan,311513,10559.0116607276,806,10046
Afghanistan,311514,3613958.71983652,806,10046
Afghanistan,311611,139418.784247587,806,10046
Afghanistan,311615,27151185.6131631,806,10046
Afghanistan,311911,20898.5873581289,806,10046
Afghanistan,311920,18865.8737743351,806,10046
Afghanistan,311930,96728.6983108358,806,10046
Afghanistan,311999,18800.2641990141,806,10046
Afghanistan,313210,264629.552272432,806,10046
Afghanistan,313220,25908.3841158045,806,10046
Afghanistan,313230,46100.2963064161,806,10046
Afghanistan,313240,24252.8800396576,806,10046
Afghanistan,313320,21871.0977764922,806,10046
Afghanistan,314110,117100.526926417,806,10046
Afghanistan,314120,60346.7809059892,806,10046
Afghanistan,314910,1777772.45410893,806,10046
Afghanistan,314994,109152.965165423,806,10046
Afghanistan,314999,282455.572807142,806,10046
Afghanistan,315110,40000,806,10046
Afghanistan,315190,111598.673231024,806,10046
Afghanistan,315220,4209875.25491974,806,10046
Afghanistan,315240,711823.472688918,806,10046
Afghanistan,315280,45663.0281912611,806,10046
Afghanistan,315990,1309743.79508772,806,10046
Afghanistan,316210,1440217.07872476,806,10046
Afghanistan,316992,78404.95312534,806,10046
Afghanistan,316998,808795.22120165,806,10046
Afghanistan,321212,452018.431848716,806,10046
Afghanistan,321911,13622.7877800011,806,10046
Afghanistan,321918,12742.4796788676,806,10046
Afghanistan,321920,2524.82963849535,806,10046
Afghanistan,321999,8126.97346293586,806,10046
Afghanistan,322121,40831.3463662562,806,10046
Afghanistan,322130,140000.561207224,806,10046
Afghanistan,322212,6500.17724457303,806,10046
Afghanistan,322219,55661,806,10046
Afghanistan,322220,133952.956167046,806,10046
Afghanistan,322291,228079.645342532,806,10046
Afghanistan,322299,83852.692149012,806,10046
Afghanistan,323111,139860.298395796,806,10046
Afghanistan,323117,206913.070330557,806,10046
Afghanistan,324110,850018.733696162,806,10046
Afghanistan,324121,4768,806,10046
Afghanistan,325120,21571.5378189345,806,10046
Afghanistan,325130,3378.07646020496,806,10046
Afghanistan,325180,252496.297208766,806,10046
Afghanistan,325194,3088.42135275619,806,10046
