NAICS6_Make,NAICS6_Use,ProVal
722A00,1111B0,11.55
811100,1111B0,50.20491803
811200,1111B0,23.56557377
811300,1111B0,7.172131148
813B00,1111B0,14.3442623
491000,1111B0,4.421052632
S00300,1111B0,333.0290011
1111A0,111200,3.428298085
111200,111200,739.3696204
1121A0,111200,3.428298085
112A00,111200,1.142766028
115000,111200,1243.174898
212310,111200,21.52372823
2123A0,111200,0.935814271
221100,111200,114.8166705
221200,111200,14.97608745
221300,111200,120.8071054
230301,111200,113.5413174
3219A0,111200,145.8122449
331200,111200,3.078947368
332200,111200,20.11152615
332310,111200,2.3660619
332710,111200,1.18303095
332999,111200,2.3660619
333111,111200,64.64114462
333920,111200,0.850541377
333991,111200,1.701082753
33399A,111200,0.850541377
335312,111200,2.02027575
335911,111200,52.52716951
336310,111200,1.232583065
336320,111200,16.02357985
336360,111200,1.232583065
336390,111200,9.860664523
339990,111200,1.13740458
314900,111200,51.11913357
322210,111200,70.40776699
322220,111200,95.55339806
323110,111200,0.821428571
324110,111200,225.181888
325180,111200,19.06966082
325310,111200,563.7986676
325320,111200,512.3934949
3259A0,111200,3.31646275
326110,111200,9.027556644
326210,111200,15.04592774
326220,111200,1.003061849
423100,111200,10.31564438
423400,111200,12.89455548
423600,111200,9.026188835
423800,111200,58.02549966
423A00,111200,20.63128877
424200,111200,1.289455548
424400,111200,265.6278429
424700,111200,59.3149552
424A00,111200,843.3039283
425000,111200,10.31564438
445000,111200,1
452000,111200,2
444000,111200,3
447000,111200,21
454000,111200,1
481000,111200,1
482000,111200,29
483000,111200,15
484000,111200,195.6875
486000,111200,3
493000,111200,14.86419753
511200,111200,2.722222222
517110,111200,9.117757009
517210,111200,6.078504673
522A00,111200,5.147975078
52A000,111200,33.97663551
523900,111200,2.770034843
523A00,111200,1.846689895
5241XX,111200,158.4748858
524200,111200,11.3196347
531ORE,111200,1081.444724
532100,111200,123.4325522
532400,111200,133.3071564
533000,111200,13.57758075
541100,111200,21.08816121
541512,111200,18.92260062
54151A,111200,26.01857585
541200,111200,47.86842105
541800,111200,1.167522465
561700,111200,46.66666667
561500,111200,4.242424242
561900,111200,2.121212121
562000,111200,5.874476987
611A00,111200,1.071428571
711200,111200,1.188679245
713900,111200,0.739130435
722110,111200,10.5
722211,111200,2.1
722A00,111200,1.05
811100,111200,4.098360656
811200,111200,2.049180328
811300,111200,1.024590164
813B00,111200,3.073770492
491000,111200,0.736842105
111200,111300,5.713830142
111300,111300,169.1293722
1121A0,111300,23.9980866
112A00,111300,11.42766028
115000,111300,2886.963702
212310,111300,14.97302834
2123A0,111300,1.871628542
221100,111300,167.7321795
221200,111300,52.915509
221300,111300,171.7258028
230301,111300,143.6850299
3219A0,111300,173.8530612
331200,111300,3.078947368
332200,111300,24.84364995
332310,111300,3.54909285
332710,111300,1.18303095
332999,111300,2.3660619
333111,111300,102.9155066
333920,111300,0.850541377
333991,111300,1.701082753
33399A,111300,0.850541377
335312,111300,2.02027575
335911,111300,76.77047851
336310,111300,1.232583065
336320,111300,24.65166131
336360,111300,1.232583065
336390,111300,14.79099678
339990,111300,2.27480916
314900,111300,66.02888087
322210,111300,82.14239482
322220,111300,142.4919094
323110,111300,0.821428571
324110,111300,265.3929394
325180,111300,18.24054513
325310,111300,557.1657421
325320,111300,769.4193581
3259A0,111300,4.974694126
326110,111300,2.006123699
326210,111300,22.06736069
326220,111300,1.003061849
423100,111300,14.18401103
423400,111300,15.47346657
423600,111300,12.89455548
423800,111300,85.10406616
423A00,111300,23.21019986
424200,111300,1.289455548
424400,111300,69.63059959
424700,111300,83.81461061
424A00,111300,1050.906272
425000,111300,25.78911096
445000,111300,1
452000,111300,2
444000,111300,3
447000,111300,18
454000,111300,1
481000,111300,1
482000,111300,24
483000,111300,10
484000,111300,143.375
486000,111300,4
493000,111300,22.2962963
511200,111300,3.62962963
517110,111300,10.13084112
517210,111300,10.13084112
522A00,111300,8.236760125
52A000,111300,72.07165109
523900,111300,4.616724739
523A00,111300,1.846689895
5241XX,111300,319.0078871
524200,111300,26.75550021
531ORE,111300,428.9950736
532100,111300,103.6833439
532400,111300,113.5579481
533000,111300,16.04623179
541100,111300,22.92191436
541512,111300,22.47058824
54151A,111300,29.56656347
541200,111300,56.04107831
561700,111300,48.78787879
562000,111300,8.811715481
611A00,111300,1.071428571
711100,111300,1.188679245
711200,111300,2.377358491
713900,111300,0.739130435
722110,111300,16.8
722211,111300,5.25
722A00,111300,2.1
811100,111300,4.098360656
811200,111300,2.049180328
813B00,111300,3.073770492
111400,111400,3450.01064
1121A0,111400,11.42766028
112A00,111400,5.713830142
115000,111400,812.8858882
212310,111400,12.16558552
221100,111400,36.94101571
221200,111400,154.7529037
221300,111400,22.96333409
230301,111400,76.36407186
331200,111400,2.052631579
332200,111400,17.74546425
332310,111400,2.3660619
332710,111400,1.18303095
332999,111400,1.18303095
333111,111400,60.38843774
333920,111400,0.850541377
333991,111400,1.701082753
33399A,111400,0.850541377
335911,111400,40.405515
336310,111400,1.232583065
336320,111400,8.628081458
336360,111400,1.232583065
336390,111400,7.395498392
322291,111400,1.676375405
323110,111400,0.821428571
324110,111400,605.8465081
325180,111400,12.43673531
325310,111400,462.6465537
325320,111400,241.2726651
3259A0,111400,2.487347063
326110,111400,12.03674219
326190,111400,323.9889773
326210,111400,13.03980404
326220,111400,1.003061849
423100,111400,7.736733287
423400,111400,7.736733287
423600,111400,5.157822192
423800,111400,39.97312198
423A00,111400,30.94693315
424400,111400,2.578911096
424700,111400,152.1557547
424A00,111400,1440.321847
425000,111400,6.447277739
445000,111400,5
452000,111400,7
444000,111400,3
447000,111400,74
454000,111400,1
481000,111400,1
482000,111400,25
483000,111400,37
484000,111400,550.25
486000,111400,6
493000,111400,11.67901235
511200,111400,0.907407407
517110,111400,14.18317757
517210,111400,9.117757009
517A00,111400,2.026168224
522A00,111400,1.029595016
52A000,111400,30.88785047
523900,111400,2.770034843
5241XX,111400,201.6953093
524200,111400,7.203403902
531ORE,111400,534.5938609
532100,111400,7.405953135
532400,111400,234.5218493
533000,111400,6.171627612
541100,111400,4.584382872
541512,111400,8.278637771
54151A,111400,11.82662539
541200,111400,33.85815148
561700,111400,28.63636364
562000,111400,8.811715481
711100,111400,1.188679245
711200,111400,2.377358491
713900,111400,0.739130435
722110,111400,16.8
722211,111400,2.1
722A00,111400,2.1
811200,111400,1.024590164
811300,111400,5.12295082
813B00,111400,2.049180328
S00402,111400,-14
1111B0,111900,202.269587
111900,111900,570.2402482
1121A0,111900,10.28489426
112300,111900,1.142766028
112A00,111900,21.71255454
115000,111900,1763.549046
212310,111900,23.39535678
2123A0,111900,86.09491294
221100,111900,104.8326122
221200,111900,66.89319062
221300,111900,168.7305853
230301,111900,172.8239521
321910,111900,11.21632653
3219A0,111900,5.608163265
327330,111900,3
331200,111900,4.105263158
332200,111900,27.20971185
332310,111900,2.3660619
332710,111900,2.3660619
332999,111900,4.732123799
333111,111900,149.6952823
33329A,111900,1.701082753
333920,111900,32.32057231
333991,111900,119.0757927
33399A,111900,2.55162413
334111,111900,155.8846154
335911,111900,98.99351176
336310,111900,2.465166131
336320,111900,19.72132905
336360,111900,2.465166131
336390,111900,19.72132905
339990,111900,2.27480916
314900,111900,10.64981949
322210,111900,10.05825243
322291,111900,1.676375405
323110,111900,0.821428571
324110,111900,469.1289332
325180,111900,19.8987765
325190,111900,309.2601515
325310,111900,537.2669656
325320,111900,539.7543126
325520,111900,0.829115688
325610,111900,9.120272564
3259A0,111900,5.803809813
326110,111900,1.003061849
326120,111900,6.018371096
326190,111900,12.03674219
326210,111900,30.09185548
326220,111900,2.006123699
423100,111900,18.05237767
423400,111900,12.89455548
423600,111900,16.76292212
423800,111900,126.3666437
423A00,111900,27.07856651
424400,111900,2.578911096
424700,111900,110.8931771
424A00,111900,918.0923501
425000,111900,9.026188835
445000,111900,3
452000,111900,4
444000,111900,3
447000,111900,38
454000,111900,1
481000,111900,1
482000,111900,41
483000,111900,22
484000,111900,251.875
486000,111900,6
493000,111900,18.04938272
511200,111900,0.907407407
517110,111900,12.15700935
517210,111900,6.078504673
522A00,111900,20.59190031
52A000,111900,79.2788162
523900,111900,3.693379791
523A00,111900,5.540069686
5241XX,111900,564.9526775
524200,111900,46.30759651
531ORE,111900,1299.242223
532100,111900,128.3698543
532400,111900,165.39962
533000,111900,6.171627612
541100,111900,17.42065491
541512,111900,8.278637771
54151A,111900,10.64396285
541200,111900,52.53851091
541300,111900,1.167522465
5419A0,111900,11.67522465
561700,111900,28.63636364
561500,111900,1.060606061
561900,111900,1.060606061
562000,111900,8.811715481
611A00,111900,1.071428571
711100,111900,1.188679245
711200,111900,1.188679245
722110,111900,15.75
722211,111900,2.1
722A00,111900,1.05
811100,111900,8.196721311
811200,111900,4.098360656
811300,111900,1.024590164
813B00,111900,4.098360656
491000,111900,0.736842105
1111B0,112120,2163.256092
111900,112120,198.8412889
1121A0,112120,1999.84055
112A00,112120,142.8457535
115000,112120,808.6465876
212310,112120,48.6623421
2123A0,112120,2.807442813
221100,112120,430.3129128
221200,112120,52.915509
221300,112120,23.96173992
230301,112120,85.40718563
321100,112120,7.47755102
3219A0,112120,5.608163265
331200,112120,20.52631579
332119,112120,2.3660619
332200,112120,154.9770544
332310,112120,18.9284952
332710,112120,9.464247599
332999,112120,9.464247599
333111,112120,483.1075019
333920,112120,6.804331013
333991,112120,12.75812065
33399A,112120,10.20649652
33451A,112120,7.423076923
335110,112120,4.0405515
335312,112120,14.14193025
335911,112120,393.9537713
336310,112120,11.09324759
336320,112120,133.1189711
336360,112120,8.628081458
336390,112120,75.18756699
339990,112120,14.78625954
311119,112120,8360.586329
311210,112120,150.2460541
311221,112120,40.12782812
311224,112120,411.5435396
311300,112120,77.45604033
31161A,112120,5.599231831
312120,112120,2.799615916
312140,112120,289.2936446
314900,112120,2.129963899
322291,112120,3.352750809
323110,112120,6.571428571
324110,112120,737.2026094
325180,112120,4.145578438
325412,112120,9.120272564
325414,112120,0.829115688
325310,112120,227.1776984
325320,112120,392.1717202
325610,112120,26.531702
3259A0,112120,31.50639613
326210,112120,110.3368034
326220,112120,11.03368034
423100,112120,68.34114404
423400,112120,5.157822192
423600,112120,56.73604411
423800,112120,309.4693315
423A00,112120,109.6037216
424200,112120,7.736733287
424400,112120,430.678153
424700,112120,186.9710544
424A00,112120,6393.120606
425000,112120,1003.196416
445000,112120,5
452000,112120,10
444000,112120,19
447000,112120,79
454000,112120,3
4B0000,112120,2
481000,112120,31
482000,112120,185
483000,112120,37
484000,112120,1100.5
486000,112120,6
493000,112120,7.432098765
511120,112120,8.166666667
511200,112120,1.814814815
517110,112120,48.62803738
517210,112120,55.71962617
517A00,112120,12.15700935
522A00,112120,5.147975078
52A000,112120,78.24922118
523900,112120,3.693379791
523A00,112120,2.770034843
5241XX,112120,246.9738481
524200,112120,12.3486924
531ORE,112120,2059.176353
532100,112120,239.4591514
532400,112120,254.2710576
541100,112120,42.17632242
541512,112120,9.46130031
54151A,112120,14.19195046
541200,112120,261.5250321
541940,112120,45.53337612
561300,112120,2.121212121
561700,112120,53.03030303
561400,112120,4.242424242
562000,112120,28.39330544
711100,112120,5.943396226
711200,112120,10.69811321
713900,112120,3.695652174
721000,112120,2
722110,112120,52.5
722211,112120,10.5
722A00,112120,14.7
811100,112120,28.68852459
811200,112120,14.3442623
811300,112120,4.098360656
813B00,112120,24.59016393
491000,112120,5.157894737
S00300,112120,157.0891515
1111B0,1121A0,7154.858104
111900,1121A0,341.6870425
1121A0,1121A0,25811.65628
112A00,1121A0,573.6685462
115000,1121A0,1409.567446
212310,1121A0,43.98327074
221100,1121A0,143.7704395
221200,1121A0,193.690731
221300,1121A0,56.90913232
3219A0,1121A0,3.73877551
331200,1121A0,18.47368421
332200,1121A0,157.3431163
332310,1121A0,20.11152615
332500,1121A0,3.54909285
332600,1121A0,951.1568837
332710,1121A0,2.3660619
332999,1121A0,3.54909285
333111,1121A0,224.5429234
333920,1121A0,6.804331013
33399A,1121A0,17.01082753
335110,1121A0,4.0405515
336320,1121A0,70.25723473
339990,1121A0,137.6259542
311119,1121A0,4953.45376
311224,1121A0,186.641061
314900,1121A0,17.03971119
316000,1121A0,8.292682927
323110,1121A0,4.928571429
324110,1121A0,1455.640061
324190,1121A0,16.97799949
325180,1121A0,1.658231375
325412,1121A0,11.60761963
325414,1121A0,256.1967475
325320,1121A0,287.7031436
326120,1121A0,137.4194734
423100,1121A0,12.89455548
423400,1121A0,18.05237767
423600,1121A0,6.447277739
423800,1121A0,158.6030324
423A00,1121A0,202.444521
424200,1121A0,167.6292212
424400,1121A0,97.99862164
424700,1121A0,548.0186079
424A00,1121A0,5450.528601
425000,1121A0,453.8883529
441000,1121A0,5
445000,1121A0,1
452000,1121A0,2
481000,1121A0,42
482000,1121A0,291
483000,1121A0,75
484000,1121A0,5093.6875
486000,1121A0,12
493000,1121A0,16.98765432
511200,1121A0,1.814814815
517110,1121A0,70.91588785
517210,1121A0,6.078504673
517A00,1121A0,14.18317757
522A00,1121A0,8.236760125
52A000,1121A0,214.1557632
523900,1121A0,3.693379791
523A00,1121A0,151.4285714
5241XX,1121A0,68.94686592
524200,1121A0,14.4068078
531ORE,1121A0,3325.418955
532100,1121A0,227.1158961
532400,1121A0,236.9905003
541100,1121A0,48.59445844
541512,1121A0,13.00928793
54151A,1121A0,17.73993808
541200,1121A0,128.4274711
541940,1121A0,21.01540436
561700,1121A0,94.39393939
562000,1121A0,45.0376569
611A00,1121A0,2.142857143
711200,1121A0,1.188679245
722110,1121A0,95.55
722211,1121A0,2.1
722A00,1121A0,1.05
813B00,1121A0,5.12295082
S00300,1121A0,276.4769066
1111B0,112300,2004.411614
112300,112300,4381.364953
115000,112300,576.5448803
212100,112300,531.542506
212310,112300,5.614885626
221100,112300,127.7959463
221200,112300,174.7210203
221300,112300,39.9362332
230301,112300,60.28742515
3219A0,112300,7.47755102
331200,112300,3.078947368
332200,112300,24.84364995
332310,112300,3.54909285
332710,112300,1.18303095
333111,112300,31.47003094
333920,112300,0.850541377
333991,112300,1.701082753
335911,112300,22.22303325
336310,112300,1.232583065
336320,112300,6.162915327
336360,112300,1.232583065
336390,112300,3.697749196
339990,112300,2.27480916
311119,112300,13128.33223
311210,112300,77.45604033
311224,112300,707.3696213
311300,112300,4.666026526
311514,112300,35.4618016
31161A,112300,70.92360319
312120,112300,0.933205305
312140,112300,151.1792594
322299,112300,20.11650485
323110,112300,0.821428571
324110,112300,568.3161934
325412,112300,135.1458571
325414,112300,89.54449426
325320,112300,87.0571472
325610,112300,3.31646275
3259A0,112300,3.31646275
326210,112300,6.018371096
423100,112300,3.868366644
423400,112300,1.289455548
423600,112300,3.868366644
423800,112300,45.13094418
423A00,112300,83.81461061
424200,112300,135.3928325
424400,112300,413.9152309
424700,112300,186.9710544
424A00,112300,8862.427981
425000,112300,34.81529979
445000,112300,4
452000,112300,5
