Country,Commodity_NAICS6,USImpVal,FAFZONE,TAZ
Afghanistan,111219,13166.288301299,806,10046
Afghanistan,111335,177404.67870375,806,10046
Afghanistan,111339,110216.905688402,806,10046
Afghanistan,311340,2473.04442201573,806,10046
Afghanistan,311421,4826.37998582561,806,10046
Afghanistan,311423,1415941.62909921,806,10046
Afghanistan,311911,11880.1677554294,806,10046
Afghanistan,311920,87129.3975181422,806,10046
Afghanistan,311941,20864.0881076156,806,10046
Afghanistan,311942,414334.529152603,806,10046
Afghanistan,311999,2009.04712860569,806,10046
Afghanistan,313240,263.001175078375,806,10046
Afghanistan,314110,4272615.27216091,806,10046
Afghanistan,314120,718.007296376051,806,10046
Afghanistan,314999,12256.9916124716,806,10046
Afghanistan,315190,22336.0765216057,806,10046
Afghanistan,315220,7191.02308152691,806,10046
Afghanistan,315240,11407.0344071112,806,10046
Afghanistan,315280,2412.6852466146,806,10046
Afghanistan,315990,25350.0771281086,806,10046
Afghanistan,316110,2823.1186823677,806,10046
Afghanistan,316992,3305.47301132737,806,10046
Afghanistan,316998,9093.84408483117,806,10046
Afghanistan,321999,33219.9629011013,806,10046
Afghanistan,323117,6859,806,10046
Afghanistan,326113,2038.03989316668,806,10046
Afghanistan,326199,975.167120734135,806,10046
Afghanistan,326299,3194.03277295613,806,10046
Afghanistan,327110,5368.62488521969,806,10046
Afghanistan,332420,2390.08970255154,806,10046
Afghanistan,332911,440688.713463355,806,10046
Afghanistan,332912,5641.06893378534,806,10046
Afghanistan,333242,12650.1543684064,806,10046
Afghanistan,333249,32376.1808919584,806,10046
Afghanistan,333514,114116.70208002,806,10046
Afghanistan,333517,3366.18989238534,806,10046
Afghanistan,333911,3426.42813996828,806,10046
Afghanistan,333999,38805.8178880006,806,10046
Afghanistan,334111,79940.0772937707,806,10046
Afghanistan,334118,14175.1138501516,806,10046
Afghanistan,334220,444913.064305598,806,10046
Afghanistan,334290,14329.0496500652,806,10046
Afghanistan,334310,72556.3386254109,806,10046
Afghanistan,334412,5075.13200965477,806,10046
Afghanistan,334413,32402.1135769775,806,10046
Afghanistan,334418,77554.7635775277,806,10046
Afghanistan,334419,68830.9202056928,806,10046
Afghanistan,334511,116464.136582568,806,10046
Afghanistan,334512,33886.0629289195,806,10046
Afghanistan,334513,154510.661520539,806,10046
Afghanistan,334515,104855.250021188,806,10046
Afghanistan,334516,7573.35565188191,806,10046
Afghanistan,335312,43463.9717421533,806,10046
Afghanistan,335313,7174.18162386977,806,10046
Afghanistan,335929,76098.1972347174,806,10046
Afghanistan,335931,3376.12340942316,806,10046
Afghanistan,335999,22103.711232342,806,10046
Afghanistan,336310,5008.00646955553,806,10046
