NAICS,NAICSio
334418,334418
334419,33441A
334510,334510
334511,334511
334512,334512
334513,334513
334514,334514
334515,334515
334516,334516
334517,334517
334518,33451A
334519,33451A
334611,334610
334612,334610
334613,334610
335110,335110
335121,335120
335122,335120
335129,335120
335211,335210
335212,335210
335221,335221
335222,335222
335224,335224
335228,335228
335311,335311
335312,335312
335313,335313
335314,335314
335911,335911
335912,335912
335921,335920
335929,335920
335931,335930
335932,335930
335991,335991
335999,335999
336111,336111
336112,336112
336120,336120
336211,336211
336212,336212
336213,336213
336214,336214
336311,336310
336312,336310
336321,336320
336322,336320
336330,3363A0
336340,3363A0
336350,336350
336360,336360
336370,336370
336391,336390
336399,336390
336411,336411
336412,336412
336413,336413
336414,336414
336415,33641A
336419,33641A
336510,336500
336611,336611
336612,336612
336991,336991
336992,336992
336999,336999
337110,337110
337121,337121
337122,337122
337124,33712A
337125,33712A
337127,337127
337129,33712A
337211,33721A
337212,33721A
337214,33721A
337215,337215
337910,337900
337920,337900
339112,339112
339113,339113
339114,339114
339115,339115
339116,339116
339911,339910
339912,339910
339913,339910
339914,339910
339920,339920
339931,339930
339932,339930
339941,339940
339942,339940
339943,339940
339944,339940
339950,339950
339991,339990
339992,339990
339993,339990
339994,339990
339995,339990
339999,339990
423110,420000
423120,420000
423130,420000
423140,420000
423210,420000
423220,420000
423310,420000
423320,420000
423330,420000
423390,420000
423410,420000
423420,420000
423430,420000
423440,420000
423450,420000
423460,420000
423490,420000
423510,420000
423520,420000
423610,420000
423620,420000
423690,420000
423710,420000
423720,420000
423730,420000
423740,420000
423810,420000
423820,420000
423830,420000
423840,420000
423850,420000
423860,420000
423910,420000
423920,420000
423930,420000
423940,420000
423990,420000
424110,420000
424120,420000
424130,420000
424210,420000
424310,420000
424320,420000
424330,420000
424340,420000
424410,420000
424420,420000
424430,420000
424440,420000
424450,420000
424460,420000
424470,420000
424480,420000
424490,420000
424510,420000
424520,420000
424590,420000
424610,420000
424690,420000
424710,420000
424720,420000
424810,420000
424820,420000
424910,420000
424920,420000
424930,420000
424940,420000
424950,420000
424990,420000
425110,420000
425120,420000
441110,441000
441120,441000
441210,441000
441221,441000
441222,441000
441229,441000
441310,441000
441320,441000
442110,4A0000
442210,4A0000
442291,4A0000
442299,4A0000
443111,4A0000
443112,4A0000
443120,4A0000
443130,4A0000
444110,4A0000
444120,4A0000
444130,4A0000
444190,4A0000
444210,4A0000
444220,4A0000
445110,445000
445120,445000
445210,445000
445220,445000
445230,445000
445291,445000
445292,445000
445299,445000
445310,445000
446110,4A0000
446120,4A0000
446130,4A0000
446191,4A0000
446199,4A0000
447110,4A0000
447190,4A0000
448110,4A0000
448120,4A0000
448130,4A0000
448140,4A0000
448150,4A0000
448190,4A0000
448210,4A0000
448310,4A0000
448320,4A0000
451110,4A0000
451120,4A0000
451130,4A0000
451140,4A0000
451211,4A0000
451212,4A0000
451220,4A0000
452111,452000
452112,452000
452910,452000
452990,452000
453110,4A0000
453210,4A0000
453220,4A0000
453310,4A0000
453910,4A0000
453920,4A0000
453930,4A0000
453991,4A0000
453998,4A0000
454111,4A0000
454112,4A0000
454113,4A0000
454210,4A0000
454311,4A0000
454312,4A0000
454319,4A0000
454390,4A0000
481111,481000
481112,481000
481211,481000
481212,481000
481219,481000
482111,482000
482112,482000
483111,483000
483112,483000
483113,483000
483114,483000
483211,483000
483212,483000
484110,484000
484121,484000
484122,484000
484210,484000
484220,484000
484230,484000
485111,485000
485112,485000
485113,485000
485119,485000
485210,485000
485310,485000
485320,485000
485410,485000
485510,485000
485991,485000
485999,485000
486110,486000
486210,486000
486910,486000
486990,486000
487110,48A000
487210,48A000
487990,48A000
488111,48A000
488119,48A000
488190,48A000
488210,48A000
488310,48A000
488320,48A000
488330,48A000
488390,48A000
488410,48A000
488490,48A000
488510,48A000
488991,48A000
488999,48A000
491110,491000
492110,492000
492210,492000
493110,493000
493120,493000
493130,493000
493190,493000
511110,511110
511120,511120
511130,511130
511140,5111A0
511191,5111A0
511199,5111A0
511210,511200
512110,512100
512120,512100
512131,512100
512132,512100
512191,512100
512199,512100
512210,512200
512220,512200
512230,512200
512240,512200
512290,512200
515111,515100
515112,515100
515120,515100
515210,515200
517110,517110
517210,517210
517410,517A00
517911,517A00
517919,517A00
518210,518200
519110,5191A0
519120,5191A0
519130,519130
519190,5191A0
521110,52A000
522110,52A000
522120,52A000
522130,52A000
522190,52A000
522210,522A00
522220,522A00
522291,522A00
522292,522A00
522293,522A00
522294,522A00
522298,522A00
522310,522A00
522320,522A00
522390,522A00
523110,523A00
523120,523A00
523130,523A00
523140,523A00
523210,523A00
523910,523900
523920,523900
523930,523900
523991,523900
523999,523900
524113,524100
524114,524100
524126,524100
524127,524100
524128,524100
524130,524100
524210,524200
524291,524200
524292,524200
524298,524200
525110,525000
525120,525000
525190,525000
525910,525000
525920,525000
525990,525000
531110,5310HS
531120,531ORE
531130,531ORE
531190,531ORE
531210,531ORE
531311,5310HS
531312,531ORE
531320,531ORE
531390,531ORE
532111,532100
532112,532100
532120,532100
532210,532A00
532220,532A00
532230,532A00
532291,532A00
532292,532A00
532299,532A00
532310,532A00
532411,532400
532412,532400
532420,532400
532490,532400
533110,533000
541110,541100
541120,541100
541191,541100
541199,541100
541211,541200
541213,541200
541214,541200
541219,541200
541310,541300
541320,541300
541330,541300
541340,541300
541350,541300
541360,541300
541370,541300
541380,541300
541410,541400
541420,541400
541430,541400
541490,541400
541511,541511
541512,541512
541513,54151A
541519,54151A
541611,541610
541612,541610
541613,541610
541614,541610
541618,541610
541620,5416A0
541690,5416A0
541711,541700
541712,541700
541720,541700
541810,541800
541820,541800
541830,541800
541840,541800
541850,541800
541860,541800
541870,541800
541890,541800
541910,5419A0
541921,541920
541922,541920
541930,5419A0
541940,541940
541990,5419A0
551111,550000
551112,550000
551114,550000
561110,561100
561210,561200
561311,561300
561312,561300
561320,561300
561330,561300
561410,561400
561421,561400
561422,561400
561431,561400
561439,561400
561440,561400
561450,561400
561491,561400
561492,561400
561499,561400
561510,561500
561520,561500
561591,561500
561599,561500
561611,561600
561612,561600
561613,561600
561621,561600
561622,561600
561710,561700
561720,561700
561730,561700
561740,561700
561790,561700
561910,561900
561920,561900
561990,561900
562111,562000
562112,562000
562119,562000
562211,562000
562212,562000
562213,562000
562219,562000
562910,562000
562920,562000
562991,562000
562998,562000
611110,611100
611210,611A00
611310,611A00
611410,611B00
611420,611B00
611430,611B00
611511,611B00
611512,611B00
611513,611B00
611519,611B00
611610,611B00
611620,611B00
611630,611B00
611691,611B00
611692,611B00
611699,611B00
611710,611B00
621111,621100
621112,621100
621210,621200
621310,621300
621320,621300
621330,621300
621340,621300
621391,621300
621399,621300
621410,621400
621420,621400
621491,621400
621492,621400
621493,621400
621498,621400
621511,621500
621512,621500
621610,621600
621910,621900
621991,621900
621999,621900
622110,622000
622210,622000
622310,622000
