Model_EmpCat,n2,lehdn2
amf,11,11
amf,21,21
twu,22,22
con,23,23
mfg,31,3133
mfg,32,3133
mfg,33,3133
wt,42,42
rcs,44,4445
rcs,45,4445
twu,48,4849
twu,49,4849
pbs,51,51
pbs,52,52
pbs,53,53
pbs,54,54
pbs,55,55
pbs,56,56
edu,61,61
hss,62,62
aer,71,71
rcs,72,72
osv,81,81
gov,92,92
