industry10,industry5
Agriculture,Industrial
Manufacturing,Industrial
Government,Service
Construction,Industrial
Wholesale,Wholesale
Retail,Retail
Transportation Handling,Transportation Handling
Other Services,Service
Hotel & Real Estate,Service
Health,Service
