TAZ,CountyFIPS,StateFIPS,LEmp,n2,PctEmp,CumPctEmp,EmpRank
3406,15,1,5808,4445,1,1,10
3406,15,1,918,4849,1,1,10
3421,17,1,214,11,1,1,10
3421,17,1,11,21,1,1,10
3421,17,1,146,22,1,1,10
3421,17,1,206,23,1,1,10
3421,17,1,124,42,1,1,10
3421,17,1,83,51,1,1,10
3421,17,1,162,52,1,1,10
3421,17,1,58,53,1,1,10
3421,17,1,206,54,1,1,10
3421,17,1,197,55,1,1,10
3421,17,1,747,56,1,1,10
3421,17,1,674,61,1,1,10
3421,17,1,1003,62,1,1,10
3421,17,1,30,71,1,1,10
3421,17,1,750,72,1,1,10
3421,17,1,173,81,1,1,10
3421,17,1,485,92,1,1,10
3421,17,1,1419,3133,1,1,10
3421,17,1,1089,4445,1,1,10
3421,17,1,490,4849,1,1,10
3351,19,1,236,11,1,1,10
3351,19,1,0,21,0,0,1
3351,19,1,137,22,1,1,10
3351,19,1,125,23,1,1,10
3351,19,1,182,42,1,1,10
3351,19,1,25,51,1,1,10
3351,19,1,107,52,1,1,10
3351,19,1,58,53,1,1,10
3351,19,1,120,54,1,1,10
3351,19,1,6,55,1,1,10
3351,19,1,161,56,1,1,10
3351,19,1,562,61,1,1,10
3351,19,1,653,62,1,1,10
3351,19,1,8,71,1,1,10
3351,19,1,394,72,1,1,10
3351,19,1,77,81,1,1,10
3351,19,1,221,92,1,1,10
3351,19,1,1154,3133,1,1,10
3351,19,1,797,4445,1,1,10
3351,19,1,72,4849,1,1,10
3428,21,1,269,11,1,1,10
3428,21,1,14,21,1,1,10
3428,21,1,150,22,1,1,10
3428,21,1,689,23,1,1,10
3428,21,1,389,42,1,1,10
3428,21,1,74,51,1,1,10
3428,21,1,247,52,1,1,10
3428,21,1,31,53,1,1,10
3428,21,1,142,54,1,1,10
3428,21,1,14,55,1,1,10
3428,21,1,282,56,1,1,10
3428,21,1,885,61,1,1,10
3428,21,1,681,62,1,1,10
3428,21,1,16,71,1,1,10
3428,21,1,751,72,1,1,10
3428,21,1,227,81,1,1,10
3428,21,1,499,92,1,1,10
3428,21,1,1971,3133,1,1,10
3428,21,1,1387,4445,1,1,10
3428,21,1,255,4849,1,1,10
3458,23,1,237,11,1,1,10
3458,23,1,63,21,1,1,10
3458,23,1,44,22,1,1,10
3458,23,1,245,23,1,1,10
3458,23,1,41,42,1,1,10
3458,23,1,20,51,1,1,10
3458,23,1,70,52,1,1,10
3458,23,1,8,53,1,1,10
3458,23,1,60,54,1,1,10
3458,23,1,0,55,0,0,1
3458,23,1,29,56,1,1,10
3458,23,1,332,61,1,1,10
3458,23,1,398,62,1,1,10
3458,23,1,22,71,1,1,10
3458,23,1,121,72,1,1,10
3458,23,1,93,81,1,1,10
3458,23,1,128,92,1,1,10
3458,23,1,930,3133,1,1,10
3458,23,1,378,4445,1,1,10
3458,23,1,154,4849,1,1,10
3422,25,1,302,11,1,1,10
3422,25,1,91,21,1,1,10
3422,25,1,160,22,1,1,10
3422,25,1,145,23,1,1,10
3422,25,1,138,42,1,1,10
3422,25,1,52,51,1,1,10
3422,25,1,366,52,1,1,10
3422,25,1,56,53,1,1,10
3422,25,1,109,54,1,1,10
3422,25,1,25,55,1,1,10
3422,25,1,158,56,1,1,10
3422,25,1,697,61,1,1,10
3422,25,1,1004,62,1,1,10
3422,25,1,12,71,1,1,10
3422,25,1,625,72,1,1,10
3422,25,1,156,81,1,1,10
3422,25,1,692,92,1,1,10
3422,25,1,1880,3133,1,1,10
3422,25,1,1325,4445,1,1,10
3422,25,1,163,4849,1,1,10
3332,27,1,46,11,1,1,10
3332,27,1,0,21,0,0,1
3332,27,1,69,22,1,1,10
3332,27,1,106,23,1,1,10
3332,27,1,26,42,1,1,10
3332,27,1,21,51,1,1,10
3332,27,1,92,52,1,1,10
3332,27,1,46,53,1,1,10
3332,27,1,41,54,1,1,10
3332,27,1,0,55,0,0,1
3332,27,1,47,56,1,1,10
3332,27,1,384,61,1,1,10
3332,27,1,459,62,1,1,10
3332,27,1,2,71,1,1,10
3332,27,1,99,72,1,1,10
3332,27,1,57,81,1,1,10
3332,27,1,205,92,1,1,10
3332,27,1,1848,3133,1,1,10
3332,27,1,300,4445,1,1,10
3332,27,1,112,4849,1,1,10
3356,29,1,57,11,1,1,10
3356,29,1,0,21,0,0,1
3356,29,1,16,22,1,1,10
3356,29,1,451,23,1,1,10
3356,29,1,44,42,1,1,10
3356,29,1,15,51,1,1,10
3356,29,1,55,52,1,1,10
3356,29,1,13,53,1,1,10
3356,29,1,27,54,1,1,10
3356,29,1,3,55,1,1,10
3356,29,1,12,56,1,1,10
3356,29,1,286,61,1,1,10
3356,29,1,195,62,1,1,10
3356,29,1,0,71,0,0,1
3356,29,1,171,72,1,1,10
3356,29,1,38,81,1,1,10
3356,29,1,161,92,1,1,10
3356,29,1,386,3133,1,1,10
3356,29,1,302,4445,1,1,10
3356,29,1,51,4849,1,1,10
3445,31,1,415,11,1,1,10
3445,31,1,0,21,0,0,1
3445,31,1,104,22,1,1,10
3445,31,1,427,23,1,1,10
3445,31,1,364,42,1,1,10
3445,31,1,108,51,1,1,10
3445,31,1,371,52,1,1,10
3445,31,1,179,53,1,1,10
3445,31,1,560,54,1,1,10
3445,31,1,93,55,1,1,10
3445,31,1,712,56,1,1,10
3445,31,1,1342,61,1,1,10
3445,31,1,2012,62,1,1,10
3445,31,1,168,71,1,1,10
3445,31,1,1315,72,1,1,10
3445,31,1,432,81,1,1,10
3445,31,1,725,92,1,1,10
3445,31,1,3615,3133,1,1,10
3445,31,1,2162,4445,1,1,10
3445,31,1,280,4849,1,1,10
3415,33,1,57,11,1,1,10
3415,33,1,110,21,1,1,10
3415,33,1,242,22,1,1,10
3415,33,1,1473,23,1,1,10
3415,33,1,905,42,1,1,10
3415,33,1,92,51,1,1,10
3415,33,1,806,52,1,1,10
3415,33,1,144,53,1,1,10
3415,33,1,377,54,1,1,10
3415,33,1,28,55,1,1,10
3415,33,1,1334,56,1,1,10
3415,33,1,1913,61,1,1,10
3415,33,1,2952,62,1,1,10
3415,33,1,181,71,1,1,10
3415,33,1,1663,72,1,1,10
3415,33,1,488,81,1,1,10
3415,33,1,1075,92,1,1,10
3415,33,1,5282,3133,1,1,10
3415,33,1,2854,4445,1,1,10
3415,33,1,417,4849,1,1,10
3355,35,1,166,11,1,1,10
3355,35,1,7,21,1,1,10
3355,35,1,62,22,1,1,10
3355,35,1,93,23,1,1,10
3355,35,1,165,42,1,1,10
3355,35,1,21,51,1,1,10
3355,35,1,36,52,1,1,10
3355,35,1,10,53,1,1,10
3355,35,1,21,54,1,1,10
3355,35,1,0,55,0,0,1
3355,35,1,68,56,1,1,10
3355,35,1,246,61,1,1,10
3355,35,1,306,62,1,1,10
3355,35,1,4,71,1,1,10
3355,35,1,279,72,1,1,10
3355,35,1,49,81,1,1,10
3355,35,1,266,92,1,1,10
3355,35,1,703,3133,1,1,10
3355,35,1,235,4445,1,1,10
3355,35,1,495,4849,1,1,10
3436,37,1,35,11,1,1,10
3436,37,1,10,21,1,1,10
3436,37,1,27,22,1,1,10
3436,37,1,34,23,1,1,10
3436,37,1,36,42,1,1,10
3436,37,1,1,51,1,1,10
3436,37,1,5,52,1,1,10
3436,37,1,2,53,1,1,10
3436,37,1,27,54,1,1,10
3436,37,1,8,55,1,1,10
3436,37,1,3,56,1,1,10
3436,37,1,252,61,1,1,10
3436,37,1,101,62,1,1,10
3436,37,1,138,71,1,1,10
3436,37,1,18,72,1,1,10
3436,37,1,32,81,1,1,10
3436,37,1,73,92,1,1,10
3436,37,1,449,3133,1,1,10
3436,37,1,91,4445,1,1,10
3436,37,1,30,4849,1,1,10
3361,39,1,155,11,1,1,10
3361,39,1,41,21,1,1,10
3361,39,1,742,22,1,1,10
3361,39,1,631,23,1,1,10
3361,39,1,578,42,1,1,10
3361,39,1,99,51,1,1,10
3361,39,1,315,52,1,1,10
3361,39,1,89,53,1,1,10
3361,39,1,258,54,1,1,10
3361,39,1,25,55,1,1,10
3361,39,1,789,56,1,1,10
3361,39,1,1050,61,1,1,10
3361,39,1,1672,62,1,1,10
3361,39,1,49,71,1,1,10
3361,39,1,833,72,1,1,10
3361,39,1,224,81,1,1,10
3361,39,1,568,92,1,1,10
3361,39,1,2390,3133,1,1,10
3361,39,1,1759,4445,1,1,10
3361,39,1,287,4849,1,1,10
3358,41,1,104,11,1,1,10
3358,41,1,0,21,0,0,1
3358,41,1,31,22,1,1,10
3358,41,1,98,23,1,1,10
3358,41,1,279,42,1,1,10
3358,41,1,14,51,1,1,10
3358,41,1,112,52,1,1,10
3358,41,1,27,53,1,1,10
3358,41,1,39,54,1,1,10
3358,41,1,0,55,0,0,1
3358,41,1,36,56,1,1,10
3358,41,1,280,61,1,1,10
3358,41,1,532,62,1,1,10
3358,41,1,1,71,1,1,10
3358,41,1,159,72,1,1,10
3358,41,1,189,81,1,1,10
3358,41,1,293,92,1,1,10
3358,41,1,1179,3133,1,1,10
3358,41,1,227,4445,1,1,10
3358,41,1,128,4849,1,1,10
3459,43,1,403,11,1,1,10
3459,43,1,13,21,1,1,10
3459,43,1,236,22,1,1,10
3459,43,1,1478,23,1,1,10
3459,43,1,1103,42,1,1,10
3459,43,1,185,51,1,1,10
3459,43,1,672,52,1,1,10
3459,43,1,211,53,1,1,10
3459,43,1,666,54,1,1,10
3459,43,1,269,55,1,1,10
3459,43,1,906,56,1,1,10
3459,43,1,2478,61,1,1,10
3459,43,1,3689,62,1,1,10
3459,43,1,106,71,1,1,10
3459,43,1,2182,72,1,1,10
3459,43,1,576,81,1,1,10
3459,43,1,1515,92,1,1,10
