TAZ,StateFIPS,CountyFIPS,FIPS
1422,23.0,5.0,23005.0
1423,23.0,5.0,23005.0
1424,23.0,5.0,23005.0
1436,23.0,31.0,23031.0
1476,23.0,19.0,23019.0
1477,50.0,9.0,50009.0
1478,50.0,11.0,50011.0
1490,50.0,5.0,50005.0
1494,50.0,1.0,50001.0
1497,50.0,21.0,50021.0
1498,50.0,25.0,50025.0
1500,50.0,27.0,50027.0
1501,50.0,23.0,50023.0
1502,50.0,13.0,50013.0
1503,50.0,15.0,50015.0
1634,23.0,29.0,23029.0
1642,23.0,3.0,23003.0
1659,23.0,9.0,23009.0
3376,33.0,7.0,33007.0
3408,33.0,17.0,33017.0
3423,33.0,5.0,33005.0
3764,33.0,1.0,33001.0
3765,33.0,15.0,33015.0
3769,33.0,13.0,33013.0
3792,33.0,9.0,33009.0
3798,33.0,3.0,33003.0
3799,33.0,19.0,33019.0
4139,50.0,17.0,50017.0
4140,23.0,7.0,23007.0
4141,23.0,25.0,23025.0
4142,23.0,17.0,23017.0
4143,50.0,3.0,50003.0
4144,50.0,19.0,50019.0
4145,23.0,27.0,23027.0
4146,23.0,15.0,23015.0
4147,50.0,7.0,50007.0
4148,23.0,13.0,23013.0
4149,23.0,1.0,23001.0
4150,23.0,11.0,23011.0
4151,23.0,21.0,23021.0
4373,33.0,11.0,33011.0
4415,23.0,19.0,23019.0
4416,23.0,27.0,23027.0
4417,23.0,27.0,23027.0
4418,23.0,13.0,23013.0
4419,23.0,15.0,23015.0
4420,23.0,15.0,23015.0
4421,23.0,23.0,23023.0
4422,23.0,31.0,23031.0
4423,33.0,9.0,33009.0
4424,33.0,9.0,33009.0
4425,33.0,1.0,33001.0
4426,33.0,17.0,33017.0
4427,33.0,15.0,33015.0
4428,50.0,23.0,50023.0
4429,50.0,21.0,50021.0
4430,50.0,21.0,50021.0
4431,50.0,27.0,50027.0
4432,50.0,27.0,50027.0
4433,50.0,25.0,50025.0
