fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
23,19,621111,,H,1613,H,26872,H,120394,82,26,17,17,15,4,2,1,0,0,0,0,0,0,11,19
23,19,621112,A,D,0,D,0,D,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,6212//,,G,515,G,6019,G,25046,52,9,24,17,1,1,0,0,0,0,0,0,0,0,11,19
23,19,62121/,,G,515,G,6019,G,25046,52,9,24,17,1,1,0,0,0,0,0,0,0,0,11,19
23,19,621210,,G,515,G,6019,G,25046,52,9,24,17,1,1,0,0,0,0,0,0,0,0,11,19
23,19,6213//,,H,489,G,5351,G,22777,89,59,16,11,2,1,0,0,0,0,0,0,0,0,11,19
23,19,62131/,B,S,0,G,455,G,2164,20,13,6,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,621310,B,S,0,G,455,G,2164,20,13,6,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,62132/,,H,91,G,729,H,3159,16,10,2,4,0,0,0,0,0,0,0,0,0,0,11,19
23,19,621320,,H,91,G,729,H,3159,16,10,2,4,0,0,0,0,0,0,0,0,0,0,11,19
23,19,62133/,,H,106,G,717,G,2934,23,18,1,3,1,0,0,0,0,0,0,0,0,0,11,19
23,19,621330,,H,106,G,717,G,2934,23,18,1,3,1,0,0,0,0,0,0,0,0,0,11,19
23,19,62134/,C,S,0,S,0,H,4589,16,7,5,3,1,0,0,0,0,0,0,0,0,0,11,19
23,19,621340,C,S,0,S,0,H,4589,16,7,5,3,1,0,0,0,0,0,0,0,0,0,11,19
23,19,62139/,,H,89,H,2352,H,9931,14,11,2,0,0,1,0,0,0,0,0,0,0,0,11,19
23,19,621391,,G,22,G,272,G,1157,6,5,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,621399,,H,67,H,2080,H,8774,8,6,1,0,0,1,0,0,0,0,0,0,0,0,11,19
23,19,6214//,,H,492,H,4218,H,17432,43,9,11,13,10,0,0,0,0,0,0,0,0,0,11,19
